set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it0b4,12,0.8506051469566923,0.8460635984155103,0.019545611324054857,0.03125582572005248,
it1b1,16,0.8211845087096984,0.8102388905539285,-0.009875026922939067,-0.004568882141529285,
it2b0,14,0.8069579740014625,0.7932498529229698,-0.02410156163117494,-0.021557919772488,
it5b4,12,0.8417426470162689,0.8440255201923172,0.010683111383631427,0.02921774749685946,
it4b3,12,0.8219017796715187,0.8325185070687807,-0.009157755961118785,0.017710734373322934,
it7b2,12,0.8253729132027143,0.828179246486758,-0.005686622429923127,0.013371473791300215,
it11b3,12,0.8224398412743804,0.8006589033060394,-0.008619694358257046,-0.014148869389418395,
it9b1,12,0.8328113600660245,0.8150609334640354,0.0017518244333870614,0.0002531607685776205,
union (8 families),102,0.807556496964772,0.7842265820568056,-0.023503038667865406,-0.030581190638652167,
