set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it1b3,12,0.8478095320225806,0.8418751077487029,0.016749996389943123,0.0270673350532451,
it5b0,12,0.8438848168298271,0.8317024544697503,0.01282528119718962,0.01689468177429254,
it5b1,12,0.8215947031968677,0.8285688570792463,-0.009464832435769788,0.013761084383788535,
it6b1,8,0.8167012090243649,0.8151501144290731,-0.01435832660827252,0.0003423417336153589,
it8b4,14,0.7792166877638674,0.7702348055387568,-0.051842847868770026,-0.044572967156701004,
it9b0,14,0.7876609060513688,0.7891268388381308,-0.04339862958126861,-0.02568093385732695,
it12b1,12,0.8430843886685692,0.8406360390322513,0.012024853035931704,0.02582826633679347,
it12b3,14,0.8045134911797728,0.8065994455036817,-0.02654604445286468,-0.00820832719177611,
union (8 families),98,0.8330263322159605,0.8320389242414256,0.001966796583322994,0.01723115154596777,
