set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it1b3,12,0.8460072040281029,0.8449347555347583,0.014947668395465463,0.030126982839300487,
it5b0,12,0.8360303791748428,0.835775095048277,0.004970843542205339,0.020967322352819173,
it5b1,14,0.8083670575769606,0.8008327740377004,-0.022692478055676868,-0.01397499865775742,
it6b1,12,0.8310371385630901,0.8379335925295036,-2.239706954731968e-05,0.023125819834045824,
it8b4,14,0.7808973713806945,0.7776728437549656,-0.050162164251942976,-0.037134928940492196,
it9b0,12,0.8389600032860738,0.8460537714075311,0.007900467653436327,0.031245998712073342,
it12b1,12,0.8300803626678753,0.8234771290078722,-0.0009791729647621317,0.008669356312414389,
it12b3,12,0.8252296634502124,0.8321180699521559,-0.005829872182425033,0.01731029725669808,
union (8 families),100,0.8405090146879527,0.834248329177954,0.009449479055315235,0.019440556482496207,
