set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it1b1,14,0.8396159183522298,0.8243448742018085,0.00855638271959236,0.009537101506350676,
it0b4,14,0.8140166379152942,0.8035855993605873,-0.01704289771734324,-0.011222173334870522,
it2b0,12,0.8154818334064707,0.8183428512589067,-0.015577702226166723,0.0035350785634489235,
it4b3,12,0.8189017904804119,0.8126891481591284,-0.012157745152225563,-0.002118624536329383,
it5b4,16,0.8042738816327455,0.8066602912138612,-0.026785653999891967,-0.008147481481596608,
it9b1,14,0.8109484060598798,0.7991791096696064,-0.020111129572757624,-0.01562866302585142,
it7b2,18,0.8050900009523742,0.797505876523158,-0.025969534680263306,-0.017301896172299824,
it11b3,12,0.8129268147564488,0.8168881459734402,-0.018132720876188668,0.0020803732779823836,
union (8 families),112,0.7947985505983304,0.80833537007812,-0.03626098503430708,-0.006472402617337836,
