set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it0b4,12,0.8273231409370181,0.8349098393588541,-0.0037363946956193717,0.020102066663396312,
it1b1,16,0.8119684111440314,0.8088313017621799,-0.01909112448860606,-0.005976470933277911,
it2b0,12,0.8271606422760727,0.8483203672144433,-0.003898893356564792,0.03351259451898547,
it4b3,12,0.8268804727824123,0.8190046499419383,-0.004179062850225179,0.004196877246480546,
it5b4,12,0.8109223891813248,0.8136233511245375,-0.020137146451312704,-0.0011844215709202466,
it7b2,12,0.8393842621009674,0.8334001695272615,0.008324726468329935,0.018592396831803693,
it9b1,14,0.7890348775681477,0.7839250136003557,-0.04202465806448974,-0.030882759095102075,
it11b3,14,0.7922462341716382,0.7997970000107996,-0.03881330146099926,-0.015010772684658225,
union (8 families),104,0.7873435065162023,0.808358140891681,-0.04371602911643513,-0.006449631803776779,
