set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it1b3,14,0.8267195477587406,0.8152933311819599,-0.004339987873896889,0.0004855584865021134,
it5b0,14,0.822149418758145,0.8084276608410977,-0.008910116874492502,-0.006380111854360049,
it5b1,12,0.818637803297263,0.8153871745947255,-0.012421732335374469,0.0005794018992677508,
it6b1,14,0.8126890004857475,0.8066873574577264,-0.01837053514688991,-0.008120415237731438,
it8b4,14,0.7786595598831413,0.775250373893248,-0.052399975749496175,-0.039557398802209764,
it9b0,14,0.7990233473372333,0.7990637445660905,-0.03203618829540411,-0.01574402812936726,
it12b1,12,0.8231919272985893,0.816073857441251,-0.007867608334048204,0.0012660847457932611,
it12b3,12,0.8271960637429093,0.8280934908035668,-0.0038634718897281317,0.013285718108108968,
union (8 families),106,0.8339067827138958,0.8191316684459414,0.002847247081258386,0.004323895750483642,
