set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it1b3,12,0.8415939635607524,0.843336606777622,0.010534427928114987,0.028528834082164223,
it5b0,12,0.842814183180159,0.8363249110775085,0.011754647547521535,0.021517138382050716,
it5b1,12,0.8217166472305174,0.825915542580022,-0.009342888402120053,0.01110776988456419,
it6b1,14,0.8032979055896787,0.8000073416443351,-0.02776163004295873,-0.01480043105112272,
it8b4,14,0.8001073139057518,0.7930999400221191,-0.03095222172688561,-0.021707832673338645,
it9b0,12,0.8388374572807571,0.8284378145746887,0.0077779216481196345,0.013630041879230892,
it12b1,14,0.8015841117580561,0.7883573843416458,-0.029475423874581352,-0.02645038835381197,
it12b3,14,0.8118298096057417,0.8089254088000841,-0.019229726026895766,-0.005882363895373666,
union (8 families),104,0.8209219932098589,0.8056336057519192,-0.010137542422778534,-0.009174166943538564,
