set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it1b3,16,0.8363694372782332,0.8188150109552185,0.005309901645595749,0.0040072382597606815,
it5b0,12,0.84236313086347,0.8310046846442077,0.011303595230832575,0.016196911948749948,
it5b1,14,0.8002593077621585,0.8005026301877536,-0.03080022787047898,-0.014305142507704205,
it6b1,14,0.8114187569321604,0.8047241843939774,-0.01964077870047709,-0.010083588301480373,
it8b4,14,0.7914234266719571,0.795352668465676,-0.03963610896068037,-0.019455104229781806,
it9b0,12,0.8380787885766849,0.8502468245886058,0.007019252944047483,0.035439051893148,
it12b1,12,0.8391815776201098,0.8514638078191415,0.00812204198747235,0.03665603512368376,
it12b3,12,0.8220920310880794,0.8173866783411514,-0.00896750454455808,0.00257890564569363,
union (8 families),106,0.8185191510468229,0.8194181305749302,-0.012540384585814524,0.004610357879472393,
