set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it1b1,14,0.8293193490226264,0.821354810279003,-0.0017401866100110741,0.0065470375835452455,
it0b4,12,0.8373090130964069,0.8307960637904529,0.0062494774637694706,0.01598829109499511,
it4b3,12,0.8286700228422272,0.8339870953754247,-0.00238951279041022,0.019179322679966915,
it5b4,14,0.8181017914123598,0.8052826396961444,-0.012957744220277623,-0.009525132999313346,
it7b2,9,0.8113064639494186,0.7983816619484078,-0.019753071683218826,-0.016426110747050027,
it9b1,12,0.8433955229109955,0.8407532004164311,0.012335987278358052,0.025945427720973302,
it11b3,12,0.839697750150133,0.8293629637799836,0.00863821451749558,0.014555191084525854,
it2b0,14,0.812565242558091,0.8004039027743995,-0.01849429307454642,-0.014403869921058243,
union (8 families),99,0.8493598218385151,0.833133708962419,0.018300286205877647,0.018325936266961218,
