set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it1b3,14,0.8266428544406337,0.8169965617466853,-0.00441668119200378,0.0021887890512275465,
it5b0,12,0.845146612389284,0.8360772330018241,0.014087076756646555,0.02126946030636634,
it5b1,12,0.8148731106139586,0.8061221300527163,-0.01618642501867884,-0.00868564264274152,
it6b1,15,0.7986477710969738,0.7979858161973149,-0.032411764535663634,-0.016821956498142887,
it8b4,14,0.7927763389325103,0.7850310039525558,-0.03828319670012714,-0.029776768742902027,
it9b0,12,0.8377719532453235,0.8421958798951554,0.006712417612686039,0.027388107199697642,
it12b1,12,0.8371614670925086,0.8263672785281135,0.006101931459871146,0.011559505832655748,
it12b3,12,0.8171582908098419,0.8176233297797377,-0.013901244822795533,0.0028155570842799404,
union (8 families),103,0.8077677207550497,0.7946079995144795,-0.023291814877587802,-0.02019977318097832,
