set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it0b4,15,0.7703925810266986,0.7717611839347526,-0.06066695460593885,-0.04304658876070522,
it2b0,12,0.8136365428980293,0.8184713806703429,-0.017422992734608123,0.0036636079748850747,
it1b1,16,0.8233989106905117,0.8244988198854458,-0.0076606249421257155,0.009691047189988033,
it5b4,14,0.8153939216060756,0.8126267946435461,-0.015665614026561858,-0.0021809780519116417,
it4b3,13,0.8223014879718294,0.8301661712855676,-0.00875804766080801,0.01535839859010979,
it7b2,4,0.8113490071222947,0.8167174700205343,-0.019710528510342717,0.0019096973250765092,
it9b1,14,0.8144641298222417,0.8065875275322123,-0.016595405810395758,-0.008220245163245488,
it11b3,16,0.8163354912891668,0.8071980792605365,-0.014724044343470633,-0.007609693434921239,
union (8 families),104,0.8005931130200014,0.8075553391571683,-0.0304664226126361,-0.007252433538289527,
