set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it0b4,14,0.7955175778280036,0.7978868517422122,-0.03554195780463387,-0.0169209209532456,
it1b1,14,0.8403564888978197,0.8333684371401492,0.009296953265182206,0.0185606644446914,
it2b0,15,0.8077950328922283,0.7934203563676183,-0.023264502740409143,-0.02138741632783947,
it5b4,12,0.8325784422452743,0.8323481980087593,0.0015189066126368722,0.017540425313301466,
it4b3,12,0.8328567960718155,0.8374569403003624,0.00179726043917805,0.022649167604904652,
it9b1,12,0.8386953006520629,0.8321103067814919,0.007635765019425422,0.017302534086034105,
it7b2,8,0.8274903534173352,0.8027943069552953,-0.0035691822153022246,-0.012013465740162488,
it11b3,12,0.8271946133369488,0.8267110640173103,-0.0038649222956886886,0.011903291321852527,
union (8 families),99,0.7941853622221859,0.8048839496623019,-0.036874173410451516,-0.009923823033155865,
