set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it1b3,12,0.8508192981555772,0.8458905399080374,0.01975976252293976,0.03108276721257963,
it5b0,12,0.837639799630353,0.8373730423986924,0.006580263997715496,0.02256526970323458,
it5b1,14,0.8001163620984368,0.7835583950114194,-0.03094317353420062,-0.03124937768403835,
it6b1,16,0.8122825384002248,0.8046358385573544,-0.018776997232412662,-0.010171934138103356,
it8b4,13,0.8095335235202086,0.8188171083933439,-0.021526012112428883,0.004009335697886085,
it9b0,12,0.8284300462609285,0.8337562743660142,-0.0026294893717089263,0.018948501670556395,
it12b1,12,0.8407250418397793,0.8372829356430552,0.009665506207141794,0.022475162947597438,
it12b3,12,0.827801468155525,0.8312947319467574,-0.0032580674771124363,0.016486959251299615,
union (8 families),103,0.7860529688043991,0.7799571133226653,-0.04500656682823834,-0.034850659372792525,
