set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it1b1,14,0.829980571900815,0.8303476132508228,-0.0010789637318224798,0.015539840555365059,
it0b4,15,0.7698136686867666,0.7660601973409956,-0.061245866945870864,-0.04874757535446217,
it5b4,12,0.8118766366182271,0.816759627517713,-0.019182899014410393,0.001951854822255239,
it4b3,12,0.8409752820823273,0.8345464072662333,0.009915746449689844,0.019738634570775515,
it2b0,14,0.8041260404056292,0.8007089867127072,-0.026933495227008275,-0.014098785982750606,
it11b3,12,0.8325406634254738,0.8358046255850661,0.0014811277928363786,0.020996852889608286,
it7b2,14,0.8019017382516125,0.8028438523365936,-0.029157797381024975,-0.011963920358864177,
it9b1,14,0.7972459395512784,0.7936128351043763,-0.03381359608135903,-0.021194937591081486,
union (8 families),107,0.8334375160998607,0.8504282383502934,0.002377980467223262,0.035620465654835565,
