dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.5220588235294118,0.5294117647058824,0.0,0.01,linear_then_max,neardraw_d1_s42,neardraw,662,74,142,42
eval_ant_hh,0.6650701715304076,0.6492537313432836,0.0,0.01,linear_then_max,neardraw_d1_s42,neardraw,662,74,142,42
eval_balanced_refusal,0.7672875,0.765,0.52,0.01,linear_then_max,neardraw_d1_s42,neardraw,662,74,142,42
eval_daily_dilemmas,0.7879008746355685,0.7857142857142857,0.0,0.01,linear_then_max,neardraw_d1_s42,neardraw,662,74,142,42
mean,0.685579342423847,0.6823449454408629,0.13,0.01,linear_then_max,neardraw_d1_s42,neardraw,662,74,142,42
