dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.720371972318339,0.7205882352941176,0.4411764705882353,0.01,linear_then_rolling_max,full_s303,full,736,0,142,303
eval_ant_hh,0.7354644687012697,0.5970149253731343,0.0,0.01,linear_then_rolling_max,full_s303,full,736,0,142,303
eval_balanced_refusal,0.9333125000000001,0.905,0.815,0.01,linear_then_rolling_max,full_s303,full,736,0,142,303
eval_daily_dilemmas,0.9465847563515202,0.9030612244897959,0.6122448979591837,0.01,linear_then_rolling_max,full_s303,full,736,0,142,303
mean,0.8339334243427823,0.781416096289262,0.46710534213685473,0.01,linear_then_rolling_max,full_s303,full,736,0,142,303
