dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.49264705882352944,0.5,0.0,0.01,linear_then_max,neardraw_d6_s42,neardraw,662,74,142,42
eval_ant_hh,0.6855647137447094,0.6492537313432836,0.0,0.01,linear_then_max,neardraw_d6_s42,neardraw,662,74,142,42
eval_balanced_refusal,0.77,0.77,0.0,0.01,linear_then_max,neardraw_d6_s42,neardraw,662,74,142,42
eval_daily_dilemmas,0.6566014160766348,0.6530612244897959,0.0,0.01,linear_then_max,neardraw_d6_s42,neardraw,662,74,142,42
mean,0.6512032971612184,0.6430787389582698,0.0,0.01,linear_then_max,neardraw_d6_s42,neardraw,662,74,142,42
