dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.6439230103806228,0.5073529411764706,0.0,0.01,linear_then_mean,far_s101,far,662,74,142,101
eval_ant_hh,0.7758966362218757,0.7164179104477612,0.0,0.01,linear_then_mean,far_s101,far,662,74,142,101
eval_balanced_refusal,0.8759625,0.78,0.0,0.01,linear_then_mean,far_s101,far,662,74,142,101
eval_daily_dilemmas,0.8172115785089545,0.7295918367346939,0.0,0.01,linear_then_mean,far_s101,far,662,74,142,101
mean,0.7782484312778633,0.6833406720897315,0.0,0.01,linear_then_mean,far_s101,far,662,74,142,101
