dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.9911332179930795,0.6397058823529411,0.8529411764705882,0.01,linear_then_softmax,neardraw_d3_s42,neardraw,662,74,142,42
eval_ant_hh,0.7425930051236356,0.6791044776119403,0.0,0.01,linear_then_softmax,neardraw_d3_s42,neardraw,662,74,142,42
eval_balanced_refusal,0.8615375000000001,0.7575,0.615,0.01,linear_then_softmax,neardraw_d3_s42,neardraw,662,74,142,42
eval_daily_dilemmas,0.9811536859641816,0.8622448979591837,0.4489795918367347,0.01,linear_then_softmax,neardraw_d3_s42,neardraw,662,74,142,42
mean,0.8941043522702241,0.7346388144810163,0.4792301920768307,0.01,linear_then_softmax,neardraw_d3_s42,neardraw,662,74,142,42
