concept,arm,dev_seed,n_dev,n_train,n_val,val_auroc,best_epoch,seconds,mean_auroc,mean_accuracy,mean_tpr_at_fpr,auroc_eval_ai_dilemmas,auroc_eval_ant_hh,auroc_eval_balanced_refusal,auroc_eval_daily_dilemmas,checkpoint_kept,val_auroc_stage1,val_auroc_finetuned,finetune_best_epoch
hu_ha_dd_gptoss120b,mixed,0,0,638,72,0.9324845679012346,48,17.7,0.9164267006100508,0.8644502651806991,0.46897058823529414,0.9958910034602076,0.7355758520828692,0.9651124999999999,0.9691274468971262,,,,
hu_ha_dd_gptoss120b,finetune,0,0,638,72,0.9324845679012346,48,15.6,0.9164267006100508,0.8644502651806991,0.46897058823529414,0.9958910034602076,0.7355758520828692,0.9651124999999999,0.9691274468971262,stage1,,,
hu_ha_dd_gptoss120b,mixed,0,24,662,72,0.9128086419753086,38,15.6,0.909775967829237,0.8746269104656788,0.43014705882352944,0.9991349480968857,0.7640899977723323,0.8903,0.9855789254477301,,,,
hu_ha_dd_gptoss120b,finetune,0,24,662,72,0.9324845679012346,1,2.7,0.9164267006100508,0.8644502651806991,0.46897058823529414,0.9958910034602076,0.7355758520828692,0.9651124999999999,0.9691274468971262,finetuned,0.9324845679012346,0.9324845679012346,1.0
hu_ha_dd_gptoss120b,dev_only,0,24,24,72,0.5246913580246914,1,2.6,0.5299186950369216,0.5,0.010051020408163264,0.49199826989619383,0.48373802628647805,0.6013,0.5426384839650146,,,,
hu_ha_dd_gptoss120b,mixed,0,48,686,72,0.9247685185185185,25,14.0,0.9223975122798069,0.8709984590851265,0.4388235294117647,0.9899437716262975,0.7484963243484073,0.9710375000000001,0.9801124531445231,,,,
hu_ha_dd_gptoss120b,finetune,0,48,686,72,0.9324845679012346,1,2.8,0.9164267006100508,0.8644502651806991,0.46897058823529414,0.9958910034602076,0.7355758520828692,0.9651124999999999,0.9691274468971262,finetuned,0.9324845679012346,0.9324845679012346,1.0
hu_ha_dd_gptoss120b,dev_only,0,48,48,72,0.5246913580246914,1,2.9,0.5299186950369216,0.5,0.010051020408163264,0.49199826989619383,0.48373802628647805,0.6013,0.5426384839650146,,,,
hu_ha_dd_gptoss120b,mixed,0,73,711,72,0.9471450617283951,20,14.0,0.9315360195423639,0.8907998311264804,0.1825,0.9974048442906575,0.779572287814658,0.9648374999999999,0.98432944606414,,,,
hu_ha_dd_gptoss120b,finetune,0,73,711,72,0.9448302469135803,29,3.9,0.9378085320292433,0.8939517187472003,0.20625,0.9966479238754326,0.8022944976609491,0.9723875000000001,0.9799042065805915,finetuned,0.9324845679012346,0.9448302469135803,29.0
hu_ha_dd_gptoss120b,dev_only,0,73,73,72,0.8792438271604938,33,3.9,0.9264081831860407,0.8458524977155042,0.46448979591836737,0.9483131487889274,0.774782802405881,0.9958125000000001,0.9867242815493544,,,,
hu_ha_dd_gptoss120b,mixed,0,97,735,72,0.9409722222222222,31,15.6,0.927689458726743,0.9001498472523337,0.4338235294117647,0.9997837370242215,0.7833593227890399,0.948075,0.9795397750937109,,,,
hu_ha_dd_gptoss120b,finetune,0,97,735,72,0.9621913580246915,44,4.5,0.9365481851765197,0.8938855915500529,0.43589285714285714,0.9978373702422145,0.7880374248162174,0.9683875000000001,0.9919304456476468,finetuned,0.9324845679012346,0.9621913580246915,44.0
hu_ha_dd_gptoss120b,dev_only,0,97,97,72,0.9108796296296295,53,5.0,0.9333287070492934,0.8728901896579527,0.5275504828797191,0.9945934256055363,0.7682111828915125,0.9800374999999999,0.990472719700125,,,,
hu_ha_dd_gptoss120b,mixed,0,121,759,72,0.947145061728395,22,14.9,0.9315430669541955,0.884656272956944,0.21125,0.9991349480968857,0.7646469146803297,0.9793625,0.9830279050395668,,,,
hu_ha_dd_gptoss120b,finetune,0,121,759,72,0.9421296296296297,11,3.9,0.9285018100361673,0.889062259232051,0.2175,0.9991349480968857,0.7561817776787704,0.9709249999999999,0.9877655143690129,finetuned,0.9324845679012346,0.9421296296296297,11.0
hu_ha_dd_gptoss120b,dev_only,0,121,121,72,0.9166666666666669,13,4.0,0.9461999087951287,0.8612873470283635,0.5692548735912275,0.9878892733564014,0.8229004232568501,0.9778625,0.9961474385672636,,,,
hu_ha_dd_gptoss120b,mixed,0,145,783,72,0.9490740740740741,15,14.0,0.9413730308993624,0.8971587254304706,0.2,0.9967560553633219,0.8099799509913121,0.9734375,0.9853186172428154,,,,
hu_ha_dd_gptoss120b,finetune,0,145,783,72,0.9675925925925927,59,6.0,0.9400640253615754,0.8871524206697605,0.45844387755102045,0.9961072664359861,0.8057473824905322,0.9668875,0.9915139525197835,finetuned,0.9324845679012346,0.9675925925925927,59.0
hu_ha_dd_gptoss120b,dev_only,0,145,145,72,0.9328703703703703,17,4.7,0.9542005055541198,0.8904088239773522,0.6676800720288115,0.9948096885813149,0.8488527511695254,0.9781375,0.9950020824656394,,,,
hu_ha_dd_gptoss120b,mixed,0,170,808,72,0.9567901234567902,45,19.1,0.9408426539324722,0.8865200184551433,0.215,0.9978373702422146,0.7977277790153708,0.9809250000000002,0.9868804664723032,,,,
hu_ha_dd_gptoss120b,finetune,0,170,808,72,0.9679783950617284,12,4.5,0.9416481599409606,0.9064783040081704,0.45224489795918366,0.9966479238754326,0.8074181332145245,0.9713249999999999,0.9912015826738859,finetuned,0.9324845679012346,0.9679783950617284,12.0
hu_ha_dd_gptoss120b,dev_only,0,170,170,72,0.9340277777777778,13,4.6,0.9385600517207596,0.8712225972478543,0.6787545018007203,0.9851859861591696,0.7917130764089998,0.9860875,0.9912536443148688,,,,
hu_ha_dd_gptoss120b,mixed,0,194,832,72,0.9529320987654322,12,14.7,0.9410927642550211,0.8859282332335919,0.19625,0.983780276816609,0.8187792381376698,0.9795124999999999,0.9822990420658059,,,,
hu_ha_dd_gptoss120b,finetune,0,194,832,72,0.9706790123456791,12,5.1,0.9416405681927533,0.9027469607245884,0.4520918367346939,0.9957828719723184,0.8117620850969036,0.970575,0.9884423157017909,finetuned,0.9324845679012346,0.9706790123456791,12.0
hu_ha_dd_gptoss120b,dev_only,0,194,194,72,0.9525462962962963,8,4.7,0.9438504946702047,0.8730166656214724,0.44808673469387755,0.990916955017301,0.8119848518601025,0.9829125,0.9895876718034153,,,,
