concept,arm,dev_seed,n_dev,n_train,n_val,val_auroc,best_epoch,seconds,mean_auroc,mean_accuracy,mean_tpr_at_fpr,auroc_eval_ai_dilemmas,auroc_eval_ant_hh,auroc_eval_balanced_refusal,auroc_eval_daily_dilemmas,checkpoint_kept,val_auroc_stage1,val_auroc_finetuned,finetune_best_epoch
hu_ha_dd_deepseekv4pro,mixed,0,0,970,72,0.8271604938271604,16,20.2,0.831403207137904,0.6603346898460878,0.2729829469101073,0.8022275086505191,0.702494987747828,0.8826875000000001,0.9382028321532695,,,,
hu_ha_dd_deepseekv4pro,finetune,0,0,970,72,0.8271604938271604,16,16.7,0.831403207137904,0.6603346898460878,0.2729829469101073,0.8022275086505191,0.702494987747828,0.8826875000000001,0.9382028321532695,stage1,,,
hu_ha_dd_deepseekv4pro,mixed,0,24,994,72,0.8823302469135802,13,16.0,0.9009890001933196,0.8152621123076096,0.5198259303721489,0.9881055363321799,0.6967030519046559,0.9479375,0.9712099125364431,,,,
hu_ha_dd_deepseekv4pro,finetune,0,24,994,72,0.8271604938271604,1,2.5,0.831403207137904,0.6603346898460878,0.2729829469101073,0.8022275086505191,0.702494987747828,0.8826875000000001,0.9382028321532695,finetuned,0.8271604938271604,0.8271604938271604,1.0
hu_ha_dd_deepseekv4pro,dev_only,0,24,24,72,0.5246913580246914,1,2.7,0.5299186950369216,0.5,0.010051020408163264,0.49199826989619383,0.48373802628647805,0.6013,0.5426384839650146,,,,
hu_ha_dd_deepseekv4pro,mixed,0,48,1018,72,0.8873456790123456,5,15.0,0.907473808628757,0.8394091218576983,0.3069642857142857,0.9945934256055363,0.6869013143239028,0.9745874999999999,0.9738129945855893,,,,
hu_ha_dd_deepseekv4pro,finetune,0,48,1018,72,0.8271604938271604,1,2.7,0.831403207137904,0.6603346898460878,0.2729829469101073,0.8022275086505191,0.702494987747828,0.8826875000000001,0.9382028321532695,finetuned,0.8271604938271604,0.8271604938271604,1.0
hu_ha_dd_deepseekv4pro,dev_only,0,48,48,72,0.5246913580246914,1,2.8,0.5299186950369216,0.5,0.010051020408163264,0.49199826989619383,0.48373802628647805,0.6013,0.5426384839650146,,,,
hu_ha_dd_deepseekv4pro,mixed,0,73,1043,72,0.9259259259259259,14,17.4,0.9233774656309364,0.8583563500026876,0.5900480192076831,0.997621107266436,0.7324571173980843,0.9793625,0.9840691378592253,,,,
hu_ha_dd_deepseekv4pro,finetune,0,73,1043,72,0.8993055555555556,81,4.8,0.9329698534613832,0.8907718460518536,0.6331602641056423,0.9968641868512111,0.7838048563154377,0.9661,0.9851103706788837,finetuned,0.8271604938271604,0.8993055555555556,81.0
hu_ha_dd_deepseekv4pro,dev_only,0,73,73,72,0.8792438271604938,33,3.9,0.9264081831860407,0.8458524977155042,0.46448979591836737,0.9483131487889274,0.774782802405881,0.9958125000000001,0.9867242815493544,,,,
hu_ha_dd_deepseekv4pro,mixed,0,97,1067,72,0.9305555555555556,14,17.7,0.9190747065957398,0.862710767142678,0.3692857142857143,0.992863321799308,0.7135219425261751,0.9774624999999999,0.992451062057476,,,,
hu_ha_dd_deepseekv4pro,finetune,0,97,1067,72,0.9259259259259259,79,5.6,0.9274154351526233,0.878480351095662,0.4141836734693878,0.9967560553633218,0.7459345065716194,0.9778,0.9891711786755518,finetuned,0.8271604938271604,0.9259259259259259,79.0
hu_ha_dd_deepseekv4pro,dev_only,0,97,97,72,0.9108796296296295,53,4.9,0.9333287070492934,0.8728901896579527,0.5275504828797191,0.9945934256055363,0.7682111828915125,0.9800374999999999,0.990472719700125,,,,
hu_ha_dd_deepseekv4pro,mixed,0,121,1091,72,0.9259259259259259,119,38.1,0.917508800075683,0.8658925659816165,0.1725,0.9972967128027681,0.7160837603029628,0.978,0.9786547271970012,,,,
hu_ha_dd_deepseekv4pro,finetune,0,121,1091,72,0.9498456790123457,16,4.2,0.9355024081110991,0.884766567074591,0.40469387755102043,0.9799956747404844,0.7932724437513923,0.973375,0.9953665139525197,finetuned,0.8271604938271604,0.9498456790123457,16.0
hu_ha_dd_deepseekv4pro,dev_only,0,121,121,72,0.9166666666666669,13,4.0,0.9461999087951287,0.8612873470283635,0.5692548735912275,0.9878892733564014,0.8229004232568501,0.9778625,0.9961474385672636,,,,
hu_ha_dd_deepseekv4pro,mixed,0,145,1115,72,0.9579475308641975,13,18.2,0.9273862764416951,0.895205268674634,0.20875,0.9961072664359862,0.7523947427043886,0.9744749999999999,0.9865680966264057,,,,
hu_ha_dd_deepseekv4pro,finetune,0,145,1115,72,0.9675925925925926,54,5.6,0.9431173670405952,0.8877793468133522,0.19375,0.9995674740484429,0.8046335486745377,0.9725374999999999,0.9957309454394002,finetuned,0.8271604938271604,0.9675925925925926,54.0
hu_ha_dd_deepseekv4pro,dev_only,0,145,145,72,0.9328703703703703,17,4.5,0.9542005055541198,0.8904088239773522,0.6676800720288115,0.9948096885813149,0.8488527511695254,0.9781375,0.9950020824656394,,,,
hu_ha_dd_deepseekv4pro,mixed,0,170,1140,72,0.9645061728395061,11,18.3,0.9326546630056447,0.8858053071975058,0.4600735294117647,0.998053633217993,0.7643127645355313,0.9836625,0.9845897542690546,,,,
hu_ha_dd_deepseekv4pro,finetune,0,170,1140,72,0.966820987654321,28,5.1,0.9316187702342742,0.8976964890433786,0.4521938775510204,0.9982698961937717,0.7758966362218758,0.9628249999999999,0.9894835485214494,finetuned,0.8271604938271604,0.966820987654321,28.0
hu_ha_dd_deepseekv4pro,dev_only,0,170,170,72,0.9340277777777778,13,4.8,0.9385600517207596,0.8712225972478543,0.6787545018007203,0.9851859861591696,0.7917130764089998,0.9860875,0.9912536443148688,,,,
hu_ha_dd_deepseekv4pro,mixed,0,194,1164,72,0.9587191358024691,8,17.9,0.92548259676666,0.8808332922721327,0.19,0.997621107266436,0.7428157718868345,0.9809125,0.9805810079133694,,,,
hu_ha_dd_deepseekv4pro,finetune,0,194,1164,72,0.9560185185185185,10,4.8,0.9332891499093765,0.888538224991489,0.6546593637454983,0.9955666089965398,0.7815771886834484,0.9667375,0.9892753019575177,finetuned,0.8271604938271604,0.9560185185185185,10.0
hu_ha_dd_deepseekv4pro,dev_only,0,194,194,72,0.9525462962962963,8,4.7,0.9438504946702047,0.8730166656214724,0.44808673469387755,0.990916955017301,0.8119848518601025,0.9829125,0.9895876718034153,,,,
hu_ha_dd_deepseekv4pro,mixed,0,218,1188,72,0.9564043209876544,12,19.2,0.9374041196340692,0.8877077435451792,0.4446428571428571,0.9956747404844292,0.7767877032746714,0.9868374999999999,0.9903165347771762,,,,
hu_ha_dd_deepseekv4pro,finetune,0,218,1188,72,0.96875,29,5.7,0.940549030248388,0.8953023821468886,0.43214285714285716,0.9989186851211073,0.7814658053018491,0.989725,0.9920866305705957,finetuned,0.8271604938271604,0.96875,29.0
hu_ha_dd_deepseekv4pro,dev_only,0,218,218,72,0.9390432098765431,18,5.5,0.9533824910974816,0.894223025030908,0.22704081632653061,0.9993512110726643,0.826464691468033,0.9914624999999999,0.9962515618492295,,,,
hu_ha_dd_deepseekv4pro,mixed,1,24,994,72,0.8993055555555556,11,16.5,0.8975690794544097,0.8147512587124401,0.5287740096038416,0.9879974048442907,0.707284473156605,0.9216500000000001,0.973344439816743,,,,
