n_dev,auroc_mean,auroc_std,n_seeds
0,0.9164267006100508,0.0,1
24,0.9151253684940895,0.007613906990719227,3
48,0.9220763527547807,0.0024054092436530295,3
73,0.92643720287173,0.004853680704729651,3
97,0.9300428340434168,0.002106941801450829,3
121,0.9302178603353984,0.004100858023534745,3
145,0.9341782674241822,0.0056886390408014695,3
170,0.9363578557958493,0.004928148257929655,3
194,0.9349971838725691,0.007798823484997722,3
218,0.9372982446288137,0.0,3
