samples,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_harmless_refusal,dev_bbq_substitution,dev_hc_context_drift,dev_hc_contradiction,dev_mm_substitution,dev_oig_context_drift,dev_oig_omission,eval_anthropic_harmless_refusal,eval_bbq_substitution,eval_hc_context_drift,eval_hc_contradiction,eval_mm_substitution,eval_oig_context_drift,eval_oig_omission,seconds
instructions_gptoss_600.jsonl,400,3,200,200,450,0.61921,0.67881,0.57872,0.34905,0.62029,0.78028,0.80882,0.59183,0.60547,0.6138,0.6764,0.66575,0.7743,0.8717,0.58045,0.56925,26.4
instructions_gptoss_600.jsonl,400,4,200,200,450,0.62625,0.68013,0.51687,0.42301,0.75436,0.77465,0.76773,0.59045,0.55664,0.5862,0.67335,0.77208,0.7259,0.8752,0.58327,0.54494,28.7
instructions_gptoss_600.jsonl,400,5,200,200,450,0.62138,0.69594,0.54801,0.3391,0.83058,0.70761,0.68945,0.62948,0.60547,0.5742,0.68665,0.84169,0.71435,0.83415,0.62653,0.59403,25.7
instructions_gptoss_600.jsonl,400,6,200,200,450,0.62412,0.66472,0.54671,0.41652,0.66621,0.7327,0.82266,0.63912,0.54492,0.53645,0.71625,0.66782,0.72585,0.88065,0.58168,0.54432,26.2
instructions_gptoss_600.jsonl,400,7,200,200,450,0.59878,0.6185,0.65787,0.49394,0.56061,0.58304,0.73054,0.5854,0.58008,0.62995,0.68015,0.62446,0.57265,0.7208,0.58274,0.51878,27.3
instructions_gptoss_600.jsonl,500,0,250,250,550,0.60267,0.64983,0.55147,0.3776,0.7337,0.65657,0.69074,0.64417,0.56445,0.5673,0.69905,0.77729,0.6146,0.76495,0.60134,0.52432,30.9
instructions_gptoss_600.jsonl,500,1,250,250,550,0.62742,0.67678,0.47578,0.41047,0.79109,0.72578,0.7699,0.57438,0.64453,0.56615,0.6486,0.78451,0.72415,0.84325,0.60368,0.5671,28.4
instructions_gptoss_600.jsonl,500,2,250,250,550,0.61236,0.66579,0.41739,0.375,0.80165,0.69031,0.75779,0.59596,0.64844,0.48165,0.67315,0.81672,0.6686,0.87215,0.577,0.57125,27.7
instructions_gptoss_600.jsonl,500,3,250,250,550,0.61837,0.66128,0.49351,0.40571,0.72865,0.71064,0.76427,0.58127,0.64453,0.51765,0.68715,0.73913,0.7376,0.83425,0.55564,0.55756,27.6
instructions_gptoss_600.jsonl,500,4,250,250,550,0.62357,0.69675,0.50433,0.41696,0.69192,0.75952,0.81315,0.61662,0.5625,0.5686,0.7416,0.71554,0.7575,0.9001,0.61112,0.58279,29.1
