samples,base,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_harmless_refusal,dev_bbq_substitution,dev_hc_context_drift,dev_hc_contradiction,dev_mm_substitution,dev_oig_context_drift,dev_oig_omission,eval_anthropic_harmless_refusal,eval_bbq_substitution,eval_hc_context_drift,eval_hc_contradiction,eval_mm_substitution,eval_oig_context_drift,eval_oig_omission,seconds
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,300,4,150,150,350,0.56107,0.55038,0.60683,0.50562,0.5528,0.57785,0.60208,0.60376,0.47852,0.57255,0.5663,0.55341,0.54,0.6049,0.52811,0.48738,30.4
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,300,5,150,150,350,0.60841,0.61062,0.67128,0.51384,0.66116,0.57785,0.67517,0.60882,0.55078,0.64045,0.64165,0.71293,0.5535,0.64405,0.55776,0.52401,30.0
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,300,6,150,150,350,0.58141,0.62575,0.53849,0.41479,0.63866,0.5878,0.63365,0.67447,0.58203,0.57765,0.67885,0.68865,0.56515,0.70805,0.61803,0.54386,23.8
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,300,7,150,150,350,0.58343,0.61362,0.44074,0.40182,0.77778,0.68296,0.65441,0.61846,0.50781,0.51,0.5847,0.78186,0.63815,0.6907,0.57328,0.51662,28.3
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,400,0,200,200,450,0.62377,0.652,0.58218,0.39014,0.77916,0.70588,0.72145,0.62902,0.55859,0.5893,0.5791,0.80003,0.67255,0.76295,0.60251,0.55756,28.9
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,400,1,200,200,450,0.66707,0.70341,0.62543,0.4814,0.76217,0.86202,0.75822,0.64509,0.53516,0.6458,0.65565,0.76512,0.83595,0.8542,0.59778,0.56941,59.2
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,400,2,200,200,450,0.61587,0.67648,0.39187,0.42517,0.75207,0.79801,0.72318,0.62902,0.5918,0.4445,0.7094,0.77904,0.7848,0.8459,0.59741,0.57433,28.3
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,400,3,200,200,450,0.61961,0.66794,0.61981,0.38408,0.65886,0.7128,0.71843,0.65932,0.58398,0.6069,0.7181,0.69891,0.67665,0.80675,0.61027,0.55802,27.3
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,400,4,200,200,450,0.56632,0.60793,0.46799,0.41566,0.67585,0.65874,0.65138,0.56336,0.53125,0.54165,0.60225,0.69731,0.60305,0.74525,0.53922,0.52678,27.2
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,400,5,200,200,450,0.62891,0.69041,0.54369,0.375,0.85216,0.73227,0.66306,0.63269,0.60352,0.58605,0.62385,0.87735,0.7131,0.8293,0.61781,0.58541,27.1
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,400,6,200,200,450,0.58899,0.62693,0.52422,0.45199,0.64555,0.65657,0.72924,0.64463,0.4707,0.52575,0.6315,0.67244,0.63375,0.81725,0.57918,0.52862,25.5
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,400,7,200,200,450,0.57841,0.57757,0.62673,0.51211,0.54086,0.54758,0.66393,0.5854,0.57227,0.57505,0.60335,0.5931,0.54715,0.63545,0.57626,0.51262,67.6
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,500,0,250,250,550,0.56357,0.59587,0.53547,0.3737,0.65381,0.60943,0.62197,0.61157,0.53906,0.5581,0.57455,0.68105,0.587,0.6925,0.5711,0.50677,29.7
instructions_gptoss_600.jsonl,instructions_gptoss_50.jsonl,500,1,250,250,550,0.58876,0.63588,0.45804,0.40095,0.77732,0.68901,0.66912,0.58586,0.54102,0.50925,0.56785,0.77761,0.6938,0.78595,0.571,0.54571,33.0
