samples,base,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_ai_dilemmas,dev_ant_hh,dev_balanced_refusal,dev_daily_dilemmas,eval_ai_dilemmas,eval_ant_hh,eval_balanced_refusal,eval_daily_dilemmas,seconds
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,400,2,200,200,450,0.91867,0.89109,1.0,0.77583,0.90343,0.99541,0.99265,0.72488,0.85913,0.98771,34.9
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,400,3,200,200,450,0.92183,0.88953,0.99622,0.80682,0.88795,0.99633,0.98594,0.74126,0.84346,0.98745,24.6
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,400,4,200,200,450,0.92922,0.8927,1.0,0.80165,0.91891,0.99633,0.99027,0.72232,0.87251,0.98568,24.1
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,400,5,200,200,450,0.81514,0.81396,0.72684,0.75103,0.83916,0.94353,0.74048,0.73168,0.82585,0.95783,24.7
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,400,6,200,200,450,0.90139,0.88978,1.0,0.70351,0.90299,0.99908,0.98735,0.73079,0.85425,0.98672,24.3
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,400,7,200,200,450,0.88268,0.85174,0.88658,0.79545,0.86244,0.98623,0.86905,0.7427,0.82073,0.97449,24.2
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,500,0,250,250,550,0.91218,0.89715,1.0,0.7345,0.91423,1.0,0.99622,0.73246,0.87415,0.98579,29.2
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,500,1,250,250,550,0.91339,0.88043,1.0,0.73554,0.91802,1.0,0.98724,0.69024,0.85849,0.98574,26.6
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,500,2,250,250,550,0.92321,0.88322,0.99055,0.82231,0.88271,0.99725,0.96086,0.75796,0.83156,0.98251,26.2
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,500,3,250,250,550,0.89814,0.86552,0.95936,0.77686,0.86278,0.99357,0.92647,0.729,0.8265,0.98011,26.6
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,500,4,250,250,550,0.92259,0.89668,1.0,0.77273,0.91947,0.99816,0.99676,0.72277,0.87859,0.9886,25.1
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,500,5,250,250,550,0.91042,0.88649,1.0,0.7345,0.909,0.99816,0.99211,0.71831,0.85435,0.98121,25.4
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,500,6,250,250,550,0.91035,0.88284,0.98866,0.77376,0.8845,0.99449,0.97751,0.73001,0.83932,0.98454,25.8
hu_harm_gptoss_600.jsonl,hu_harm_gptoss_50.jsonl,500,7,250,250,550,0.90919,0.8906,1.0,0.7376,0.90466,0.99449,0.98681,0.71675,0.87091,0.98792,26.2
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,100,0,50,50,150,0.8867,0.87811,1.0,0.65289,0.91869,0.97521,0.99589,0.6575,0.87406,0.98501,25.3
