dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.6448961937716262,0.5,0.0,0.01,sklearn,far_s42,far,725,81,72,42
eval_ant_hh,0.7529516596123859,0.6791044776119403,0.0,0.01,sklearn,far_s42,far,725,81,72,42
eval_balanced_refusal,0.85935,0.7525,0.21,0.01,sklearn,far_s42,far,725,81,72,42
eval_daily_dilemmas,0.8390254060807997,0.75,0.10204081632653061,0.01,sklearn,far_s42,far,725,81,72,42
mean,0.7740558148662029,0.6704011194029851,0.07801020408163264,0.01,sklearn,far_s42,far,725,81,72,42
