dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.5,0.5073529411764706,0.0,0.01,linear_then_max,neardraw_d0_s404,neardraw,725,81,72,404
eval_ant_hh,0.6861216306527065,0.664179104477612,0.0,0.01,linear_then_max,neardraw_d0_s404,neardraw,725,81,72,404
eval_balanced_refusal,0.8,0.8,0.0,0.01,linear_then_max,neardraw_d0_s404,neardraw,725,81,72,404
eval_daily_dilemmas,0.6212515618492295,0.6173469387755102,0.0,0.01,linear_then_max,neardraw_d0_s404,neardraw,725,81,72,404
mean,0.651843298125484,0.6472197461073982,0.0,0.01,linear_then_max,neardraw_d0_s404,neardraw,725,81,72,404
