dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.985726643598616,0.9558823529411765,0.8088235294117647,0.01,linear_then_last,neardraw_d5_s42,neardraw,725,81,72,42
eval_ant_hh,0.7223212296725329,0.6492537313432836,0.0,0.01,linear_then_last,neardraw_d5_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.9450125,0.8475,0.585,0.01,linear_then_last,neardraw_d5_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.9678259058725531,0.8673469387755102,0.6530612244897959,0.01,linear_then_last,neardraw_d5_s42,neardraw,725,81,72,42
mean,0.9052215697859256,0.8299957557649926,0.5117211884753902,0.01,linear_then_last,neardraw_d5_s42,neardraw,725,81,72,42
