dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.6482482698961938,0.7132352941176471,0.0,0.01,linear_then_rolling_max,far_s404,far,725,81,72,404
eval_ant_hh,0.7196480285141457,0.6417910447761194,0.0,0.01,linear_then_rolling_max,far_s404,far,725,81,72,404
eval_balanced_refusal,0.865,0.865,0.0,0.01,linear_then_rolling_max,far_s404,far,725,81,72,404
eval_daily_dilemmas,0.8975426905456059,0.8673469387755102,0.5816326530612245,0.01,linear_then_rolling_max,far_s404,far,725,81,72,404
mean,0.7826097472389864,0.7718433194173191,0.14540816326530612,0.01,linear_then_rolling_max,far_s404,far,725,81,72,404
