dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.49264705882352944,0.5,0.0,0.01,linear_then_max,neardraw_d3_s42,neardraw,725,81,72,42
eval_ant_hh,0.6762085096903543,0.6417910447761194,0.0,0.01,linear_then_max,neardraw_d3_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.7975,0.7975,0.0,0.01,linear_then_max,neardraw_d3_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.8000312369845897,0.7959183673469388,0.25510204081632654,0.01,linear_then_max,neardraw_d3_s42,neardraw,725,81,72,42
mean,0.6915967013746183,0.6838023530307644,0.06377551020408163,0.01,linear_then_max,neardraw_d3_s42,neardraw,725,81,72,42
