dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.49264705882352944,0.5,0.0,0.01,linear_then_max,near_s42,near,725,81,72,42
eval_ant_hh,0.7019380708398306,0.6865671641791045,0.0,0.01,linear_then_max,near_s42,near,725,81,72,42
eval_balanced_refusal,0.765,0.765,0.0,0.01,linear_then_max,near_s42,near,725,81,72,42
eval_daily_dilemmas,0.6717513536026656,0.6683673469387755,0.0,0.01,linear_then_max,near_s42,near,725,81,72,42
mean,0.6578341208165064,0.65498362777947,0.0,0.01,linear_then_max,near_s42,near,725,81,72,42
