dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.6539792387543253,0.5,0.0,0.01,pre_mean,neardraw_d3_s42,neardraw,725,81,72,42
eval_ant_hh,0.7913789262642014,0.746268656716418,0.0,0.01,pre_mean,neardraw_d3_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.8875500000000001,0.7975,0.36,0.01,pre_mean,neardraw_d3_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.8056538942107455,0.7142857142857143,0.0,0.01,pre_mean,neardraw_d3_s42,neardraw,725,81,72,42
mean,0.784640514807318,0.689513592750533,0.09,0.01,pre_mean,neardraw_d3_s42,neardraw,725,81,72,42
