dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.6671712802768166,0.6911764705882353,0.0,0.01,linear_then_rolling_max,full_s303,full,806,0,72,303
eval_ant_hh,0.7264424147917131,0.6492537313432836,0.23880597014925373,0.01,linear_then_rolling_max,full_s303,full,806,0,72,303
eval_balanced_refusal,0.9046375,0.905,0.335,0.01,linear_then_rolling_max,full_s303,full,806,0,72,303
eval_daily_dilemmas,0.8830174927113703,0.8469387755102041,0.3673469387755102,0.01,linear_then_rolling_max,full_s303,full,806,0,72,303
mean,0.795317171944975,0.7730922443604308,0.23528822723119097,0.01,linear_then_rolling_max,full_s303,full,806,0,72,303
