dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.6181877162629759,0.6838235294117647,0.0,0.01,linear_then_rolling_max,near_s101,near,725,81,72,101
eval_ant_hh,0.679772777901537,0.5970149253731343,0.0,0.01,linear_then_rolling_max,near_s101,near,725,81,72,101
eval_balanced_refusal,0.8375,0.8375,0.0,0.01,linear_then_rolling_max,near_s101,near,725,81,72,101
eval_daily_dilemmas,0.8672428154935443,0.8214285714285714,0.5612244897959183,0.01,linear_then_rolling_max,near_s101,near,725,81,72,101
mean,0.7506758274145143,0.7349417565533676,0.14030612244897958,0.01,linear_then_rolling_max,near_s101,near,725,81,72,101
