dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.49264705882352944,0.5,0.0,0.01,linear_then_max,neardraw_d0_s202,neardraw,725,81,72,202
eval_ant_hh,0.6842281131655157,0.664179104477612,0.0,0.01,linear_then_max,neardraw_d0_s202,neardraw,725,81,72,202
eval_balanced_refusal,0.75,0.75,0.0,0.01,linear_then_max,neardraw_d0_s202,neardraw,725,81,72,202
eval_daily_dilemmas,0.601051645147855,0.5969387755102041,0.0,0.01,linear_then_max,neardraw_d0_s202,neardraw,725,81,72,202
mean,0.6319817042842251,0.627779469996954,0.0,0.01,linear_then_max,neardraw_d0_s202,neardraw,725,81,72,202
