dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.9952422145328719,0.7647058823529411,0.9264705882352942,0.01,linear_then_softmax,near_s202,near,725,81,72,202
eval_ant_hh,0.7413677879260414,0.6567164179104478,0.0,0.01,linear_then_softmax,near_s202,near,725,81,72,202
eval_balanced_refusal,0.9151625,0.7375,0.745,0.01,linear_then_softmax,near_s202,near,725,81,72,202
eval_daily_dilemmas,0.9843815077051228,0.8775510204081632,0.5816326530612245,0.01,linear_then_softmax,near_s202,near,725,81,72,202
mean,0.909038502541009,0.759118330167888,0.5632758103241297,0.01,linear_then_softmax,near_s202,near,725,81,72,202
