combo,draw,n_kept,n_pool,dataset,auroc,accuracy,tpr_at_fpr,fpr
combo_memo,0,941,1046,anthropic_hh_balanced,0.9226873081816158,0.8160187667560321,0.44235924932975873,0.01
combo_memo,0,941,1046,mt_balanced,0.8536796631726677,0.7864238410596026,0.0,0.01
combo_memo,0,941,1046,mts_balanced,0.895619253650622,0.7674418604651163,0.0,0.01
combo_memo,0,941,1046,toolace_balanced,0.843094090831471,0.6321525885558583,0.16621253405994552,0.01
combo_memo,0,941,1046,mean,0.8787700789590942,0.7505092642091523,0.15214294584742605,0.01
combo_memo,1,941,1046,anthropic_hh_balanced,0.9412415815538098,0.8672922252010724,0.564343163538874,0.01
combo_memo,1,941,1046,mt_balanced,0.7054515152844173,0.5380794701986755,0.0,0.01
combo_memo,1,941,1046,mts_balanced,0.7309356408869658,0.5465116279069767,0.0,0.01
combo_memo,1,941,1046,toolace_balanced,0.8338617110528699,0.717983651226158,0.0,0.01
combo_memo,1,941,1046,mean,0.8028726121945158,0.6674667436332207,0.1410857908847185,0.01
combo_memo,2,941,1046,anthropic_hh_balanced,0.9289627342250717,0.8455093833780161,0.5348525469168901,0.01
combo_memo,2,941,1046,mt_balanced,0.7970812683654226,0.6456953642384106,0.0,0.01
combo_memo,2,941,1046,mts_balanced,0.6005949161709032,0.5232558139534884,0.0,0.01
combo_memo,2,941,1046,toolace_balanced,0.836438016467566,0.6798365122615804,0.1989100817438692,0.01
combo_memo,2,941,1046,mean,0.790769233807241,0.6735742684578738,0.1834406571651898,0.01
combo_memo,3,941,1046,anthropic_hh_balanced,0.931281625326136,0.8542225201072386,0.0,0.01
combo_memo,3,941,1046,mt_balanced,0.5533803341958685,0.48841059602649006,0.0,0.01
combo_memo,3,941,1046,mts_balanced,0.7744726879394268,0.7325581395348837,0.0,0.01
combo_memo,3,941,1046,toolace_balanced,0.8367090111293423,0.6934604904632152,0.0,0.01
combo_memo,3,941,1046,mean,0.7739609146476935,0.6921629365329569,0.0,0.01
combo_memo,4,941,1046,anthropic_hh_balanced,0.9334729369865377,0.8615951742627346,0.0,0.01
combo_memo,4,941,1046,mt_balanced,0.7908205780448225,0.6804635761589404,0.0,0.01
combo_memo,4,941,1046,mts_balanced,0.8315305570578692,0.7674418604651163,0.0,0.01
combo_memo,4,941,1046,toolace_balanced,0.8446309646667508,0.659400544959128,0.14168937329700274,0.01
combo_memo,4,941,1046,mean,0.850113759188995,0.7422252889614798,0.035422343324250684,0.01
combo_memo,5,941,1046,anthropic_hh_balanced,0.9213459271611238,0.7985924932975871,0.3746648793565684,0.01
combo_memo,5,941,1046,mt_balanced,0.6498673303802465,0.5132450331125827,0.0,0.01
combo_memo,5,941,1046,mts_balanced,0.7433747971876691,0.6046511627906976,0.0,0.01
combo_memo,5,941,1046,toolace_balanced,0.8349939490233056,0.6648501362397821,0.17438692098092642,0.01
combo_memo,5,941,1046,mean,0.7873955009380862,0.6453347063601624,0.1372629500843737,0.01
combo_memo,6,941,1046,anthropic_hh_balanced,0.9106160020556462,0.8009383378016086,0.37935656836461124,0.01
combo_memo,6,941,1046,mt_balanced,0.8149532915223017,0.7417218543046358,0.0,0.01
combo_memo,6,941,1046,mts_balanced,0.913196322336398,0.7790697674418605,0.0,0.01
combo_memo,6,941,1046,toolace_balanced,0.8166442693909673,0.6566757493188011,0.14168937329700274,0.01
combo_memo,6,941,1046,mean,0.8638524713263284,0.7446014272167265,0.1302614854154035,0.01
combo_memo,7,941,1046,anthropic_hh_balanced,0.9079402029770932,0.8150134048257373,0.0,0.01
combo_memo,7,941,1046,mt_balanced,0.7946526468137363,0.6837748344370861,0.0,0.01
combo_memo,7,941,1046,mts_balanced,0.9118442401297999,0.8372093023255814,0.0,0.01
combo_memo,7,941,1046,toolace_balanced,0.8483060977511157,0.7002724795640327,0.20708446866485014,0.01
combo_memo,7,941,1046,mean,0.8656857969179362,0.7590675052881093,0.051771117166212535,0.01
combo_desc,0,653,726,anthropic_hh_balanced,0.9038832666086869,0.7117962466487936,0.26474530831099197,0.01
combo_desc,0,653,726,mt_balanced,0.8421067058462348,0.5927152317880795,0.0,0.01
combo_desc,0,653,726,mts_balanced,0.8907517577068685,0.8488372093023255,0.0,0.01
combo_desc,0,653,726,toolace_balanced,0.8380639844382244,0.6198910081743869,0.16893732970027248,0.01
combo_desc,0,653,726,mean,0.8687014286500037,0.6933099239783963,0.10842065950281611,0.01
combo_desc,1,653,726,anthropic_hh_balanced,0.892806091828447,0.7335790884718498,0.18900804289544235,0.01
combo_desc,1,653,726,mt_balanced,0.9167909302223587,0.8559602649006622,0.0,0.01
combo_desc,1,653,726,mts_balanced,0.9453758788534343,0.872093023255814,0.0,0.01
combo_desc,1,653,726,toolace_balanced,0.7880005048667673,0.5940054495912807,0.12534059945504086,0.01
combo_desc,1,653,726,mean,0.8857433514427518,0.7639094565549016,0.0785871605876208,0.01
combo_desc,2,653,726,anthropic_hh_balanced,0.8816707426201583,0.6936997319034852,0.24463806970509383,0.01
combo_desc,2,653,726,mt_balanced,0.8961832814350248,0.8079470198675497,0.0,0.01
combo_desc,2,653,726,mts_balanced,0.9167117360735533,0.872093023255814,0.0,0.01
combo_desc,2,653,726,toolace_balanced,0.8052439323181552,0.6171662125340599,0.10626702997275204,0.01
combo_desc,2,653,726,mean,0.8749524231117229,0.7477264968902271,0.08772627491946147,0.01
combo_desc,3,653,726,anthropic_hh_balanced,0.9259702326617744,0.6920241286863271,0.3203753351206434,0.01
