combo,draw,n_kept,n_pool,dataset,auroc,accuracy,tpr_at_fpr,fpr
memo_gd,0,472,525,anthropic_hh_balanced,0.9581009351033932,0.8951072386058981,0.6742627345844504,0.01
memo_gd,0,472,525,mt_balanced,0.9183149861848166,0.8543046357615894,0.0,0.01
memo_gd,0,472,525,mts_balanced,0.9310438074634937,0.6976744186046512,0.0,0.01
memo_gd,0,472,525,toolace_balanced,0.8093311257786456,0.5504087193460491,0.10899182561307902,0.01
memo_gd,0,472,525,mean,0.9041977136325873,0.7493737530795469,0.19581364004938234,0.01
memo_gd,1,472,525,anthropic_hh_balanced,0.9492804339857254,0.8830428954423593,0.0,0.01
memo_gd,1,472,525,mt_balanced,0.9202666549712732,0.8410596026490066,0.0,0.01
memo_gd,1,472,525,mts_balanced,0.8999459167117361,0.7325581395348837,0.0,0.01
memo_gd,1,472,525,toolace_balanced,0.8276362583432945,0.5708446866485014,0.28337874659400547,0.01
memo_gd,1,472,525,mean,0.8992823160030072,0.7568763310686877,0.07084468664850137,0.01
memo_gd,2,472,525,anthropic_hh_balanced,0.9534036308030676,0.8857238605898123,0.6226541554959786,0.01
memo_gd,2,472,525,mt_balanced,0.8796872944169116,0.7980132450331126,0.0,0.01
memo_gd,2,472,525,mts_balanced,0.918334234721471,0.7209302325581395,0.0,0.01
memo_gd,2,472,525,toolace_balanced,0.8150925465331244,0.5599455040871935,0.17166212534059946,0.01
memo_gd,2,472,525,mean,0.8916294266186436,0.7411532105670644,0.1985790702091445,0.01
memo_gd,3,472,525,anthropic_hh_balanced,0.9556580583487267,0.8910857908847185,0.0,0.01
memo_gd,3,472,525,mt_balanced,0.9233257313275732,0.8079470198675497,0.0,0.01
memo_gd,3,472,525,mts_balanced,0.8983234180638182,0.8255813953488372,0.0,0.01
memo_gd,3,472,525,toolace_balanced,0.8218674130775342,0.5817438692098093,0.22343324250681199,0.01
memo_gd,3,472,525,mean,0.899793655204413,0.7765895188277288,0.055858310626702996,0.01
memo_gl,0,399,443,anthropic_hh_balanced,0.9221965316361074,0.7985924932975871,0.34986595174262736,0.01
memo_gl,0,399,443,mt_balanced,0.8018124205078725,0.609271523178808,0.0,0.01
memo_gl,0,399,443,mts_balanced,0.9305029745808544,0.8488372093023255,0.0,0.01
memo_gl,0,399,443,toolace_balanced,0.8083213922443555,0.6089918256130791,0.20708446866485014,0.01
memo_gl,0,399,443,mean,0.8657083297422974,0.7164232628479499,0.1392376051018694,0.01
memo_gl,1,399,443,anthropic_hh_balanced,0.8895564098786017,0.7543565683646113,0.2593833780160858,0.01
memo_gl,1,399,443,mt_balanced,0.8714858997412395,0.7715231788079471,0.0,0.01
memo_gl,1,399,443,mts_balanced,0.9594375338020552,0.8372093023255814,0.0,0.01
memo_gl,1,399,443,toolace_balanced,0.8164660811202102,0.5722070844686649,0.18528610354223432,0.01
memo_gl,1,399,443,mean,0.8842364811355267,0.7338240334917012,0.11116737038958002,0.01
memo_gl,2,399,443,anthropic_hh_balanced,0.8990673673353505,0.7640750670241286,0.25536193029490617,0.01
memo_gl,2,399,443,mt_balanced,0.9062267005833078,0.8211920529801324,0.2781456953642384,0.01
memo_gl,2,399,443,mts_balanced,0.9664683612763656,0.8255813953488372,0.0,0.01
memo_gl,2,399,443,toolace_balanced,0.7999168454736466,0.5490463215258855,0.22888283378746593,0.01
memo_gl,2,399,443,mean,0.8929198186671676,0.739973709219746,0.1905976148616526,0.01
memo_gl,3,399,443,anthropic_hh_balanced,0.9429387474933335,0.8384718498659517,0.45576407506702415,0.01
memo_gl,3,399,443,mt_balanced,0.8911615718608832,0.7947019867549668,0.26490066225165565,0.01
memo_gl,3,399,443,mts_balanced,0.9202271498107085,0.8372093023255814,0.0,0.01
memo_gl,3,399,443,toolace_balanced,0.8093533993124902,0.5708446866485014,0.24250681198910082,0.01
memo_gl,3,399,443,mean,0.8909202171193538,0.7603069563987503,0.24079288732694518,0.01
memo_dl,0,369,410,anthropic_hh_balanced,0.9486897052375853,0.8887399463806971,0.0,0.01
memo_dl,0,369,410,mt_balanced,0.8103317836936977,0.5645695364238411,0.0,0.01
memo_dl,0,369,410,mts_balanced,0.9169821525148729,0.7906976744186046,0.0,0.01
memo_dl,0,369,410,toolace_balanced,0.7925331690041503,0.7084468664850136,0.10626702997275204,0.01
memo_dl,0,369,410,mean,0.8671342026125767,0.7381135059270392,0.02656675749318801,0.01
memo_dl,1,369,410,anthropic_hh_balanced,0.9445465179797168,0.8793565683646113,0.6561662198391421,0.01
memo_dl,1,369,410,mt_balanced,0.8556751896846628,0.7665562913907285,0.0,0.01
memo_dl,1,369,410,mts_balanced,0.9207679826933478,0.8488372093023255,0.0,0.01
memo_dl,1,369,410,toolace_balanced,0.7927670411095191,0.6103542234332425,0.09536784741144415,0.01
memo_dl,1,369,410,mean,0.8784391828668117,0.776276073122727,0.18788351681264656,0.01
memo_dl,2,369,410,anthropic_hh_balanced,0.9481310959613021,0.881367292225201,0.6280160857908847,0.01
memo_dl,2,369,410,mt_balanced,0.8823845445375202,0.7135761589403974,0.0,0.01
memo_dl,2,369,410,mts_balanced,0.9648458626284478,0.8837209302325582,0.0,0.01
memo_dl,2,369,410,toolace_balanced,0.8177876441283252,0.7111716621253406,0.2452316076294278,0.01
memo_dl,2,369,410,mean,0.9032872868138988,0.7974590108808743,0.21831192335507815,0.01
memo_dl,3,369,410,anthropic_hh_balanced,0.9503594685507695,0.8776809651474531,0.6012064343163539,0.01
memo_dl,3,369,410,mt_balanced,0.876173194158151,0.7566225165562914,0.0,0.01
memo_dl,3,369,410,mts_balanced,0.9707950243374797,0.9069767441860465,0.0,0.01
memo_dl,3,369,410,toolace_balanced,0.8276139848094499,0.6416893732970027,0.23705722070844687,0.01
memo_dl,3,369,410,mean,0.9062354179639626,0.7957423997966984,0.2095659137562002,0.01
memo_gn,0,572,636,anthropic_hh_balanced,0.8738760430966944,0.6890080428954424,0.17493297587131368,0.01
memo_gn,0,572,636,mt_balanced,0.6915047585632209,0.6009933774834437,0.0,0.01
memo_gn,0,572,636,mts_balanced,0.7571660356949702,0.6744186046511628,0.0,0.01
memo_gn,0,572,636,toolace_balanced,0.8083065432217924,0.5980926430517711,0.18256130790190736,0.01
memo_gn,0,572,636,mean,0.7827133451441695,0.640628167020455,0.08937357094330525,0.01
memo_gn,1,572,636,anthropic_hh_balanced,0.9136857700407535,0.7825067024128687,0.2828418230563003,0.01
memo_gn,1,572,636,mt_balanced,0.6896024297179948,0.6456953642384106,0.0,0.01
memo_gn,1,572,636,mts_balanced,0.8428880475932937,0.6627906976744186,0.0,0.01
memo_gn,1,572,636,toolace_balanced,0.7696137026780212,0.5681198910081744,0.08719346049046321,0.01
memo_gn,1,572,636,mean,0.8039474875075158,0.664778163833468,0.09250882088669088,0.01
memo_gn,2,572,636,anthropic_hh_balanced,0.8841443911765342,0.6813002680965148,0.22319034852546918,0.01
memo_gn,2,572,636,mt_balanced,0.7163556422963906,0.6804635761589404,0.0,0.01
memo_gn,2,572,636,mts_balanced,0.8166576527852893,0.7093023255813954,0.0,0.01
memo_gn,2,572,636,toolace_balanced,0.8118591718700117,0.5817438692098093,0.2016348773841962,0.01
memo_gn,2,572,636,mean,0.8072542145320565,0.663202509761665,0.10620630647741634,0.01
memo_gn,3,572,636,anthropic_hh_balanced,0.8770046593449243,0.67828418230563,0.16219839142091153,0.01
memo_gn,3,572,636,mt_balanced,0.7120740318407086,0.6688741721854304,0.06291390728476821,0.01
memo_gn,3,572,636,mts_balanced,0.7774472687939427,0.6627906976744186,0.0,0.01
memo_gn,3,572,636,toolace_balanced,0.7646021575629784,0.5667574931880109,0.15258855585831063,0.01
memo_gn,3,572,636,mean,0.7827820293856385,0.6441766363383724,0.0944252136409976,0.01
memo_dn,0,543,603,anthropic_hh_balanced,0.9424643676012909,0.857573726541555,0.5127345844504021,0.01
memo_dn,0,543,603,mt_balanced,0.5337594842331477,0.5248344370860927,0.0,0.01
memo_dn,0,543,603,mts_balanced,0.881557598702001,0.7906976744186046,0.0,0.01
memo_dn,0,543,603,toolace_balanced,0.7349041124367988,0.5626702997275205,0.05994550408719346,0.01
memo_dn,0,543,603,mean,0.7731713907433095,0.6839440344434432,0.1431700221343989,0.01
memo_dn,1,543,603,anthropic_hh_balanced,0.9309903039625096,0.8408176943699732,0.4812332439678284,0.01
memo_dn,1,543,603,mt_balanced,0.7438215429147845,0.6754966887417219,0.0,0.01
memo_dn,1,543,603,mts_balanced,0.8783126014061655,0.686046511627907,0.0,0.01
memo_dn,1,543,603,toolace_balanced,0.7130463512239308,0.5626702997275205,0.07084468664850137,0.01
memo_dn,1,543,603,mean,0.8165426998768476,0.6912577986167806,0.13801948265408245,0.01
memo_dn,2,543,603,anthropic_hh_balanced,0.9529883237858392,0.8518766756032171,0.4792225201072386,0.01
memo_dn,2,543,603,mt_balanced,0.5247028639094776,0.5082781456953642,0.0695364238410596,0.01
memo_dn,2,543,603,mts_balanced,0.861817198485668,0.7209302325581395,0.0,0.01
memo_dn,2,543,603,toolace_balanced,0.7368456221369228,0.5885558583106267,0.05994550408719346,0.01
memo_dn,2,543,603,mean,0.7690885020794769,0.6674102280418368,0.1521761120088729,0.01
