arm,draw,n_kept,n_pool,dataset,auroc,accuracy,tpr_at_fpr,fpr
arm1,0,223,279,anthropic_hh_balanced,0.952956878149056,0.8646112600536193,0.48726541554959785,0.01
arm1,0,223,279,mt_balanced,0.9149105302399017,0.8394039735099338,0.22847682119205298,0.01
arm1,0,223,279,mts_balanced,0.945646295294754,0.813953488372093,0.0,0.01
arm1,0,223,279,toolace_balanced,0.8062870761532122,0.5544959128065395,0.17983651226158037,0.01
arm1,0,223,279,mean,0.9049501949592309,0.7681161586855464,0.2238946872508078,0.01
arm1,1,223,279,anthropic_hh_balanced,0.971342692752769,0.9085120643431636,0.6910187667560321,0.01
arm1,1,223,279,mt_balanced,0.8793199859655279,0.7003311258278145,0.0,0.01
arm1,1,223,279,mts_balanced,0.9248242293131422,0.872093023255814,0.0,0.01
arm1,1,223,279,toolace_balanced,0.830453860374641,0.5572207084468664,0.20708446866485014,0.01
arm1,1,223,279,mean,0.9014851921015201,0.7595392304684147,0.22452580885522055,0.01
arm1,2,223,279,anthropic_hh_balanced,0.9674890299649965,0.9044906166219839,0.6588471849865952,0.01
arm1,2,223,279,mt_balanced,0.9151298188675934,0.8576158940397351,0.2913907284768212,0.01
arm1,2,223,279,mts_balanced,0.9626825310978907,0.9069767441860465,0.0,0.01
arm1,2,223,279,toolace_balanced,0.802734447504993,0.5640326975476839,0.17438692098092642,0.01
arm1,2,223,279,mean,0.9120089568588684,0.8082789880988623,0.2811562086110857,0.01
arm1,3,223,279,anthropic_hh_balanced,0.9273006077093919,0.8237265415549598,0.3210455764075067,0.01
arm1,3,223,279,mt_balanced,0.8902515240559625,0.7980132450331126,0.20198675496688742,0.01
arm1,3,223,279,mts_balanced,0.9248242293131421,0.7790697674418605,0.0,0.01
arm1,3,223,279,toolace_balanced,0.8091046781845584,0.5490463215258855,0.18256130790190736,0.01
arm1,3,223,279,mean,0.8878702598157637,0.7374639688889546,0.17639840981907537,0.01
arm1,4,223,279,anthropic_hh_balanced,0.9589250353988026,0.8930965147453083,0.6025469168900804,0.01
arm1,4,223,279,mt_balanced,0.9274373930967941,0.859271523178808,0.0,0.01
arm1,4,223,279,mts_balanced,0.9618712817739319,0.872093023255814,0.0,0.01
arm1,4,223,279,toolace_balanced,0.8151222445782506,0.5340599455040872,0.22070844686648503,0.01
arm1,4,223,279,mean,0.9158389887119448,0.7896302516710043,0.20581384093914137,0.01
arm1,5,223,279,anthropic_hh_balanced,0.9615543398572548,0.8803619302949062,0.5978552278820375,0.01
arm1,5,223,279,mt_balanced,0.9222676636989606,0.8211920529801324,0.18211920529801323,0.01
arm1,5,223,279,mts_balanced,0.9288804759329368,0.8255813953488372,0.0,0.01
arm1,5,223,279,toolace_balanced,0.8655495252025036,0.5463215258855586,0.1880108991825613,0.01
arm1,5,223,279,mean,0.9195630011729139,0.7683642261273586,0.241996333090653,0.01
arm1,6,223,279,anthropic_hh_balanced,0.9634675822438169,0.8709785522788204,0.5495978552278821,0.01
arm1,6,223,279,mt_balanced,0.8175683084075259,0.695364238410596,0.20860927152317882,0.01
arm1,6,223,279,mts_balanced,0.902920497566252,0.7674418604651163,0.0,0.01
arm1,6,223,279,toolace_balanced,0.8543459376786523,0.5504087193460491,0.1771117166212534,0.01
arm1,6,223,279,mean,0.8845755814740618,0.7210483426251454,0.23382971084307858,0.01
arm1,7,223,279,anthropic_hh_balanced,0.9399947620553586,0.8066353887399463,0.38404825737265413,0.01
arm1,7,223,279,mt_balanced,0.8987160650848647,0.8096026490066225,0.18874172185430463,0.01
arm1,7,223,279,mts_balanced,0.9169821525148729,0.7325581395348837,0.0,0.01
arm1,7,223,279,toolace_balanced,0.8414978209059388,0.5340599455040872,0.15803814713896458,0.01
arm1,7,223,279,mean,0.8992977001402588,0.720714030696385,0.18270703159148083,0.01
arm2,0,163,204,anthropic_hh_balanced,0.9653772308433182,0.9091823056300268,0.5931635388739946,0.01
arm2,0,163,204,mt_balanced,0.938505986579536,0.8526490066225165,0.4271523178807947,0.01
arm2,0,163,204,mts_balanced,0.9570037858301784,0.8255813953488372,0.0,0.01
arm2,0,163,204,toolace_balanced,0.7990815879544729,0.555858310626703,0.16076294277929154,0.01
arm2,0,163,204,mean,0.9149921478018763,0.7858177545570209,0.29526969988352025,0.01
arm2,1,163,204,anthropic_hh_balanced,0.9651649727950319,0.9014745308310992,0.542225201072386,0.01
arm2,1,163,204,mt_balanced,0.9131836322968291,0.7566225165562914,0.0,0.01
arm2,1,163,204,mts_balanced,0.9540292049756626,0.872093023255814,0.0,0.01
arm2,1,163,204,toolace_balanced,0.8214627772126901,0.5708446866485014,0.22888283378746593,0.01
arm2,1,163,204,mean,0.9134601468200534,0.7752586893229264,0.192777008714963,0.01
arm2,2,163,204,anthropic_hh_balanced,0.9666968245297529,0.8964477211796247,0.5361930294906166,0.01
arm2,2,163,204,mt_balanced,0.8882505153282751,0.8145695364238411,0.0,0.01
arm2,2,163,204,mts_balanced,0.9451054624121147,0.8023255813953488,0.0,0.01
arm2,2,163,204,toolace_balanced,0.7901981602061046,0.5653950953678474,0.14168937329700274,0.01
arm2,2,163,204,mean,0.8975627406190618,0.7696844835916655,0.16947060069690484,0.01
arm2,3,163,204,anthropic_hh_balanced,0.9410520092863458,0.7845174262734584,0.47520107238605896,0.01
arm2,3,163,204,mt_balanced,0.8933818692162625,0.7649006622516556,0.40728476821192056,0.01
arm2,3,163,204,mts_balanced,0.965386695511087,0.9302325581395349,0.0,0.01
arm2,3,163,204,toolace_balanced,0.7912747143419284,0.547683923705722,0.13896457765667575,0.01
arm2,3,163,204,mean,0.8977738220889059,0.7568336425925928,0.25536260456366383,0.01
arm2,4,163,204,anthropic_hh_balanced,0.950509284548872,0.8488605898123325,0.4168900804289544,0.01
arm2,4,163,204,mt_balanced,0.936943555107232,0.8625827814569537,0.5033112582781457,0.01
arm2,4,163,204,mts_balanced,0.932395889670092,0.7558139534883721,0.0,0.01
arm2,4,163,204,toolace_balanced,0.7894594213335907,0.555858310626703,0.15258855585831063,0.01
arm2,4,163,204,mean,0.9023270376649466,0.7557789088460902,0.2681974736413527,0.01
arm2,5,163,204,anthropic_hh_balanced,0.958654153699085,0.8572386058981233,0.5261394101876675,0.01
arm2,5,163,204,mt_balanced,0.886216613306434,0.7880794701986755,0.38079470198675497,0.01
arm2,5,163,204,mts_balanced,0.9334775554353705,0.8023255813953488,0.0,0.01
arm2,5,163,204,toolace_balanced,0.8236789938302311,0.5517711171662125,0.16893732970027248,0.01
arm2,5,163,204,mean,0.9005068290677801,0.7498536936645901,0.26896786046867377,0.01
arm2,6,163,204,anthropic_hh_balanced,0.9698267884481311,0.9175603217158177,0.688337801608579,0.01
arm2,6,163,204,mt_balanced,0.9134358142186746,0.7533112582781457,0.0,0.01
arm2,6,163,204,mts_balanced,0.9553812871822607,0.8953488372093024,0.0,0.01
arm2,6,163,204,toolace_balanced,0.8101329729970524,0.5572207084468664,0.14713896457765668,0.01
arm2,6,163,204,mean,0.9121942157115297,0.7808602814125332,0.20886919154655892,0.01
arm2,7,163,204,anthropic_hh_balanced,0.9607776326287115,0.8837131367292225,0.5455764075067024,0.01
arm2,7,163,204,mt_balanced,0.9404686197973773,0.7831125827814569,0.5,0.01
arm2,7,163,204,mts_balanced,0.9261763115197403,0.7906976744186046,0.0,0.01
arm2,7,163,204,toolace_balanced,0.7874176807311658,0.5803814713896458,0.12806539509536785,0.01
arm2,7,163,204,mean,0.9037100611692487,0.7594762163297324,0.2934104506505176,0.01
arm3,0,197,246,anthropic_hh_balanced,0.9593841416958362,0.8880697050938338,0.6085790884718498,0.01
arm3,0,197,246,mt_balanced,0.8440474102013069,0.6705298013245033,0.016556291390728478,0.01
arm3,0,197,246,mts_balanced,0.9048134126554894,0.6511627906976745,0.0,0.01
arm3,0,197,246,toolace_balanced,0.7766113045608772,0.5190735694822888,0.035422343324250684,0.01
arm3,0,197,246,mean,0.8712140672783775,0.682208966649575,0.16513943079670723,0.01
arm3,1,197,246,anthropic_hh_balanced,0.957548839566158,0.8800268096514745,0.5985254691689008,0.01
arm3,1,197,246,mt_balanced,0.8174860751721416,0.7417218543046358,0.08940397350993377,0.01
arm3,1,197,246,mts_balanced,0.8802055164954029,0.7325581395348837,0.0,0.01
arm3,1,197,246,toolace_balanced,0.7800117307278248,0.553133514986376,0.05994550408719346,0.01
arm3,1,197,246,mean,0.8588130404903819,0.7268600796193425,0.18696873669150701,0.01
arm3,2,197,246,anthropic_hh_balanced,0.9559093988313004,0.8733243967828418,0.5462466487935657,0.01
arm3,2,197,246,mt_balanced,0.876732380158765,0.7715231788079471,0.056291390728476824,0.01
arm3,2,197,246,mts_balanced,0.9537587885343428,0.813953488372093,0.0,0.01
arm3,2,197,246,toolace_balanced,0.7859179294522939,0.5449591280653951,0.1008174386920981,0.01
arm3,2,197,246,mean,0.8930796242441755,0.7509400480070693,0.17583886955353514,0.01
arm3,3,197,246,anthropic_hh_balanced,0.9528297479317756,0.8760053619302949,0.5630026809651475,0.01
arm3,3,197,246,mt_balanced,0.8774669970615323,0.8112582781456954,0.0,0.01
arm3,3,197,246,mts_balanced,0.9524067063277447,0.7441860465116279,0.0,0.01
arm3,3,197,246,toolace_balanced,0.8213365605209038,0.5640326975476839,0.11716621253405994,0.01
arm3,3,197,246,mean,0.901010002960489,0.7488705960338256,0.17004222337480185,0.01
arm3,4,197,246,anthropic_hh_balanced,0.960939802269836,0.899798927613941,0.5931635388739946,0.01
arm3,4,197,246,mt_balanced,0.8409992982763914,0.6804635761589404,0.0,0.01
arm3,4,197,246,mts_balanced,0.8996755002704164,0.7906976744186046,0.0,0.01
arm3,4,197,246,toolace_balanced,0.7616472020729236,0.5626702997275205,0.05449591280653951,0.01
arm3,4,197,246,mean,0.8658154507223919,0.7334076194797516,0.16191486292013355,0.01
arm3,5,197,246,anthropic_hh_balanced,0.934145424390314,0.8314343163538874,0.4148793565683646,0.01
arm3,5,197,246,mt_balanced,0.8678292618744792,0.7665562913907285,0.0,0.01
arm3,5,197,246,mts_balanced,0.9645754461871282,0.8255813953488372,0.0,0.01
arm3,5,197,246,toolace_balanced,0.7678986405719843,0.5340599455040872,0.010899182561307902,0.01
arm3,5,197,246,mean,0.8836121932559764,0.739407987149385,0.10644463478241813,0.01
arm3,6,197,246,anthropic_hh_balanced,0.9581209255439196,0.9001340482573726,0.0,0.01
arm3,6,197,246,mt_balanced,0.9054701548177712,0.8278145695364238,0.15562913907284767,0.01
arm3,6,197,246,mts_balanced,0.9480800432666305,0.7558139534883721,0.0,0.01
arm3,6,197,246,toolace_balanced,0.774736615462287,0.5722070844686649,0.0681198910081744,0.01
arm3,6,197,246,mean,0.8966019347726522,0.7639924139377083,0.055937257520255516,0.01
arm3,7,197,246,anthropic_hh_balanced,0.9549521038029454,0.8853887399463807,0.5884718498659517,0.01
arm3,7,197,246,mt_balanced,0.808456865926933,0.7268211920529801,0.0728476821192053,0.01
arm3,7,197,246,mts_balanced,0.9129259058950785,0.7674418604651163,0.0,0.01
arm3,7,197,246,toolace_balanced,0.7725278233560275,0.5435967302452316,0.03814713896457766,0.01
arm3,7,197,246,mean,0.8622156747452461,0.7308121306774271,0.17486666773743367,0.01
arm4,0,200,250,anthropic_hh_balanced,0.9062996391837791,0.7781501340482574,0.306970509383378,0.01
arm4,0,200,250,mt_balanced,0.9598921099951756,0.8990066225165563,0.4271523178807947,0.01
arm4,0,200,250,mts_balanced,0.9805300162249865,0.9534883720930233,0.0,0.01
arm4,0,200,250,toolace_balanced,0.7777695283207984,0.5272479564032697,0.20435967302452315,0.01
arm4,0,200,250,mean,0.9061228234311849,0.7894732712652766,0.23462062507217396,0.01
arm4,1,200,250,anthropic_hh_balanced,0.9026470038597273,0.7342493297587132,0.23793565683646112,0.01
arm4,1,200,250,mt_balanced,0.9122406911977545,0.804635761589404,0.3543046357615894,0.01
arm4,1,200,250,mts_balanced,0.9680908599242833,0.8837209302325582,0.0,0.01
arm4,1,200,250,toolace_balanced,0.764461091848629,0.5136239782016349,0.1226158038147139,0.01
arm4,1,200,250,mean,0.8868599117075986,0.7340574999455775,0.17871402410319112,0.01
arm4,2,200,250,anthropic_hh_balanced,0.9152870267880888,0.721514745308311,0.3156836461126005,0.01
arm4,2,200,250,mt_balanced,0.947376211569668,0.8526490066225165,0.6622516556291391,0.01
arm4,2,200,250,mts_balanced,0.9697133585722012,0.8953488372093024,0.0,0.01
arm4,2,200,250,toolace_balanced,0.7417049647706939,0.5204359673024523,0.14986376021798364,0.01
arm4,2,200,250,mean,0.893520390425163,0.7474871391106455,0.2819497654899308,0.01
arm4,3,200,250,anthropic_hh_balanced,0.9085147596834593,0.7714477211796247,0.3599195710455764,0.01
arm4,3,200,250,mt_balanced,0.9540974080084206,0.8841059602649006,0.3973509933774834,0.01
arm4,3,200,250,mts_balanced,0.9488912925905895,0.8837209302325582,0.0,0.01
arm4,3,200,250,toolace_balanced,0.7559414651530563,0.5204359673024523,0.1989100817438692,0.01
arm4,3,200,250,mean,0.8918612313588814,0.764927644744884,0.23904516154173228,0.01
arm4,4,200,250,anthropic_hh_balanced,0.8543471795959147,0.6260053619302949,0.1742627345844504,0.01
arm4,4,200,250,mt_balanced,0.9312420507872461,0.804635761589404,0.2847682119205298,0.01
arm4,4,200,250,mts_balanced,0.9605191995673336,0.8604651162790697,0.0,0.01
arm4,4,200,250,toolace_balanced,0.7894037374989791,0.5149863760217984,0.18256130790190736,0.01
arm4,4,200,250,mean,0.8838780418623684,0.7015231539551418,0.1603980636017219,0.01
arm4,5,200,250,anthropic_hh_balanced,0.8922751097901949,0.7396112600536193,0.3424932975871314,0.01
arm4,5,200,250,mt_balanced,0.9363843691066182,0.8609271523178808,0.37748344370860926,0.01
arm4,5,200,250,mts_balanced,0.9697133585722012,0.9186046511627907,0.0,0.01
arm4,5,200,250,toolace_balanced,0.7323797786010736,0.5177111716621253,0.17438692098092642,0.01
arm4,5,200,250,mean,0.882688154017522,0.759213558799104,0.22359091556916677,0.01
arm4,6,200,250,anthropic_hh_balanced,0.8684325787578434,0.6823056300268097,0.2064343163538874,0.01
arm4,6,200,250,mt_balanced,0.9439333801149072,0.8162251655629139,0.30132450331125826,0.01
arm4,6,200,250,mts_balanced,0.9724175229853974,0.9302325581395349,0.0,0.01
arm4,6,200,250,toolace_balanced,0.7497716962780925,0.5177111716621253,0.19618528610354224,0.01
arm4,6,200,250,mean,0.8836387945340601,0.7366186313478459,0.17598602644217198,0.01
arm4,7,200,250,anthropic_hh_balanced,0.8984514820777839,0.6903485254691689,0.24195710455764075,0.01
arm4,7,200,250,mt_balanced,0.927530590763563,0.8327814569536424,0.23178807947019867,0.01
arm4,7,200,250,mts_balanced,0.9269875608436993,0.8488372093023255,0.0,0.01
arm4,7,200,250,toolace_balanced,0.7297811996525327,0.5136239782016349,0.1335149863760218,0.01
arm4,7,200,250,mean,0.8706877083343947,0.7213977924816929,0.1518150426009653,0.01
arm5,0,131,164,anthropic_hh_balanced,0.9483655905670277,0.8254021447721179,0.542225201072386,0.01
arm5,0,131,164,mt_balanced,0.9249649138195692,0.8344370860927153,0.22185430463576158,0.01
arm5,0,131,164,mts_balanced,0.9848566792861007,0.8953488372093024,0.0,0.01
arm5,0,131,164,toolace_balanced,0.8124085857048459,0.6471389645776566,0.14713896457765668,0.01
arm5,0,131,164,mean,0.9176489423443859,0.8005817581629482,0.2278046175714511,0.01
arm5,1,131,164,anthropic_hh_balanced,0.9332752786981866,0.8277479892761395,0.39075067024128685,0.01
arm5,1,131,164,mt_balanced,0.8592276654532696,0.6440397350993378,0.3741721854304636,0.01
arm5,1,131,164,mts_balanced,0.9659275283937263,0.9069767441860465,0.0,0.01
arm5,1,131,164,toolace_balanced,0.8196771822494784,0.6607629427792916,0.15803814713896458,0.01
arm5,1,131,164,mean,0.8945269136986651,0.7598818528352038,0.23074025070267876,0.01
arm5,2,131,164,anthropic_hh_balanced,0.9265535492241013,0.8257372654155496,0.35723860589812334,0.01
arm5,2,131,164,mt_balanced,0.9349754396736986,0.8245033112582781,0.40728476821192056,0.01
arm5,2,131,164,mts_balanced,0.9908058409951326,0.9302325581395349,0.0,0.01
arm5,2,131,164,toolace_balanced,0.7853499543392556,0.5817438692098093,0.13896457765667575,0.01
arm5,2,131,164,mean,0.909421196058047,0.790554251005793,0.2258719879416799,0.01
arm5,3,131,164,anthropic_hh_balanced,0.9097483270921233,0.767426273458445,0.3847184986595174,0.01
arm5,3,131,164,mt_balanced,0.9161549932020525,0.7980132450331126,0.0,0.01
arm5,3,131,164,mts_balanced,0.9707950243374798,0.872093023255814,0.0,0.01
arm5,3,131,164,toolace_balanced,0.8096392429968298,0.6389645776566758,0.1335149863760218,0.01
arm5,3,131,164,mean,0.9015843969071213,0.7691242798510118,0.1295583712588848,0.01
arm5,4,131,164,anthropic_hh_balanced,0.9499747087235588,0.8646112600536193,0.46648793565683644,0.01
arm5,4,131,164,mt_balanced,0.925425419937722,0.7649006622516556,0.33774834437086093,0.01
arm5,4,131,164,mts_balanced,0.9837750135208221,0.9069767441860465,0.0,0.01
arm5,4,131,164,toolace_balanced,0.8086295094625396,0.6049046321525886,0.16621253405994552,0.01
arm5,4,131,164,mean,0.9169511629111606,0.7853483246609776,0.24261220352191074,0.01
arm5,5,131,164,anthropic_hh_balanced,0.939191550647241,0.8207104557640751,0.5046916890080428,0.01
arm5,5,131,164,mt_balanced,0.8911067497039603,0.7052980132450332,0.0,0.01
arm5,5,131,164,mts_balanced,0.9751216873985938,0.8953488372093024,0.0,0.01
arm5,5,131,164,toolace_balanced,0.8257133099213744,0.6376021798365122,0.17166212534059946,0.01
arm5,5,131,164,mean,0.9077833244177923,0.7647398715137307,0.16908845358716057,0.01
arm5,6,131,164,anthropic_hh_balanced,0.9569455325633046,0.8803619302949062,0.5214477211796247,0.01
arm5,6,131,164,mt_balanced,0.923857506249726,0.8096026490066225,0.27483443708609273,0.01
arm5,6,131,164,mts_balanced,0.9851270957274203,0.9302325581395349,0.0,0.01
arm5,6,131,164,toolace_balanced,0.8178396157072959,0.5871934604904632,0.18528610354223432,0.01
arm5,6,131,164,mean,0.9209424375619367,0.8018476494828817,0.2453920654519879,0.01
arm5,7,131,164,anthropic_hh_balanced,0.926097587490746,0.8220509383378016,0.3719839142091153,0.01
arm5,7,131,164,mt_balanced,0.8808604885750624,0.7218543046357616,0.0,0.01
arm5,7,131,164,mts_balanced,0.9913466738777718,0.9302325581395349,0.0,0.01
arm5,7,131,164,toolace_balanced,0.823500805559474,0.662125340599455,0.1553133514986376,0.01
arm5,7,131,164,mean,0.9054513888757635,0.7840657854281382,0.13182431642693823,0.01
arm6,0,23,29,anthropic_hh_balanced,0.9151201403014468,0.8076407506702413,0.15683646112600536,0.01
arm6,0,23,29,mt_balanced,0.897082364808561,0.5165562913907285,0.0,0.01
arm6,0,23,29,mts_balanced,0.9629529475392105,0.8837209302325582,0.0,0.01
arm6,0,23,29,toolace_balanced,0.8510865772260542,0.6294277929155313,0.2670299727520436,0.01
arm6,0,23,29,mean,0.9065605074688181,0.7093364413022647,0.10596660846951224,0.01
