dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_daily_dilemmas,0.907746772178259,0.8112244897959183,0.3469387755102041,0.01,attention,near_s101,near,725,81,72,101
mean,0.8335660716929486,0.7094199284191288,0.191734693877551,0.01,attention,near_s101,near,725,81,72,101
eval_ai_dilemmas,0.6989619377162629,0.5,0.0,0.01,attention,near_s202,near,725,81,72,202
eval_ant_hh,0.7938293606593896,0.7164179104477612,0.0,0.01,attention,near_s202,near,725,81,72,202
eval_balanced_refusal,0.9120125,0.82,0.46,0.01,attention,near_s202,near,725,81,72,202
eval_daily_dilemmas,0.8884319033735943,0.8214285714285714,0.3061224489795918,0.01,attention,near_s202,near,725,81,72,202
mean,0.8233089254373117,0.714461620469083,0.1915306122448979,0.01,attention,near_s202,near,725,81,72,202
eval_ai_dilemmas,0.7170198961937716,0.5,0.0,0.01,attention,near_s303,near,725,81,72,303
eval_ant_hh,0.7894854087770107,0.7164179104477612,0.0,0.01,attention,near_s303,near,725,81,72,303
eval_balanced_refusal,0.9175625,0.8275,0.46,0.01,attention,near_s303,near,725,81,72,303
eval_daily_dilemmas,0.9014473136193252,0.8214285714285714,0.2959183673469387,0.01,attention,near_s303,near,725,81,72,303
mean,0.8313787796475269,0.7163366204690831,0.1889795918367346,0.01,attention,near_s303,near,725,81,72,303
eval_ai_dilemmas,0.7026384083044983,0.5,0.0,0.01,attention,near_s404,near,725,81,72,404
eval_ant_hh,0.7748941857874806,0.7089552238805971,0.0,0.01,attention,near_s404,near,725,81,72,404
eval_balanced_refusal,0.9125875,0.825,0.435,0.01,attention,near_s404,near,725,81,72,404
eval_daily_dilemmas,0.887390670553936,0.7959183673469388,0.0,0.01,attention,near_s404,near,725,81,72,404
mean,0.8193776911614786,0.7074683978068841,0.10875,0.01,attention,near_s404,near,725,81,72,404
eval_ai_dilemmas,0.6959342560553633,0.5,0.0,0.01,attention,near_s42,near,725,81,72,42
eval_ant_hh,0.7812430385386501,0.7014925373134329,0.0,0.01,attention,near_s42,near,725,81,72,42
eval_balanced_refusal,0.9118,0.82,0.45,0.01,attention,near_s42,near,725,81,72,42
eval_daily_dilemmas,0.8850478967097042,0.8010204081632653,0.336734693877551,0.01,attention,near_s42,near,725,81,72,42
mean,0.8185062978259294,0.7056282363691745,0.1966836734693877,0.01,attention,near_s42,near,725,81,72,42
eval_ai_dilemmas,0.7077205882352942,0.5,0.0,0.01,attention,neardraw_d0_s101,neardraw,725,81,72,101
eval_ant_hh,0.7791267542882602,0.7014925373134329,0.0,0.01,attention,neardraw_d0_s101,neardraw,725,81,72,101
eval_balanced_refusal,0.9165625,0.815,0.5,0.01,attention,neardraw_d0_s101,neardraw,725,81,72,101
eval_daily_dilemmas,0.8977509371095377,0.8061224489795918,0.336734693877551,0.01,attention,neardraw_d0_s101,neardraw,725,81,72,101
mean,0.825290194908273,0.7056537465732562,0.2091836734693877,0.01,attention,neardraw_d0_s101,neardraw,725,81,72,101
eval_ai_dilemmas,0.6943122837370242,0.5,0.0,0.01,attention,neardraw_d0_s202,neardraw,725,81,72,202
eval_ant_hh,0.7934952105145912,0.7089552238805971,0.0,0.01,attention,neardraw_d0_s202,neardraw,725,81,72,202
eval_balanced_refusal,0.9032875,0.8,0.43,0.01,attention,neardraw_d0_s202,neardraw,725,81,72,202
eval_daily_dilemmas,0.8908267388588088,0.8010204081632653,0.0,0.01,attention,neardraw_d0_s202,neardraw,725,81,72,202
mean,0.820480433277606,0.7024939080109656,0.1075,0.01,attention,neardraw_d0_s202,neardraw,725,81,72,202
eval_ai_dilemmas,0.6788494809688581,0.5,0.0,0.01,attention,neardraw_d0_s303,neardraw,725,81,72,303
eval_ant_hh,0.7850300735130318,0.7014925373134329,0.0,0.01,attention,neardraw_d0_s303,neardraw,725,81,72,303
eval_balanced_refusal,0.90785,0.8075,0.445,0.01,attention,neardraw_d0_s303,neardraw,725,81,72,303
eval_daily_dilemmas,0.8928571428571428,0.8061224489795918,0.0,0.01,attention,neardraw_d0_s303,neardraw,725,81,72,303
mean,0.8161466743347582,0.7037787465732562,0.11125,0.01,attention,neardraw_d0_s303,neardraw,725,81,72,303
eval_ai_dilemmas,0.7057742214532872,0.5,0.0,0.01,attention,neardraw_d0_s404,neardraw,725,81,72,404
eval_ant_hh,0.7776787703274671,0.7014925373134329,0.0,0.01,attention,neardraw_d0_s404,neardraw,725,81,72,404
eval_balanced_refusal,0.9052375,0.8025,0.405,0.01,attention,neardraw_d0_s404,neardraw,725,81,72,404
eval_daily_dilemmas,0.8951999167013744,0.8163265306122449,0.3469387755102041,0.01,attention,neardraw_d0_s404,neardraw,725,81,72,404
mean,0.8209726021205321,0.7050797669814195,0.187984693877551,0.01,attention,neardraw_d0_s404,neardraw,725,81,72,404
eval_ai_dilemmas,0.6958261245674742,0.5,0.0,0.01,attention,neardraw_d0_s42,neardraw,725,81,72,42
eval_ant_hh,0.7734462018266874,0.6940298507462687,0.0,0.01,attention,neardraw_d0_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.904975,0.8075,0.42,0.01,attention,neardraw_d0_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.9013431903373594,0.8214285714285714,0.3775510204081632,0.01,attention,neardraw_d0_s42,neardraw,725,81,72,42
mean,0.8188976291828802,0.70573960554371,0.1993877551020408,0.01,attention,neardraw_d0_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.7045847750865053,0.5,0.0,0.01,attention,neardraw_d1_s42,neardraw,725,81,72,42
eval_ant_hh,0.7703274671419024,0.7014925373134329,0.0,0.01,attention,neardraw_d1_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.9151125,0.81,0.49,0.01,attention,neardraw_d1_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.8987921699291962,0.8112244897959183,0.3061224489795918,0.01,attention,neardraw_d1_s42,neardraw,725,81,72,42
mean,0.8222042280394011,0.7056792567773378,0.1990306122448979,0.01,attention,neardraw_d1_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.7157223183391004,0.5,0.0,0.01,attention,neardraw_d2_s42,neardraw,725,81,72,42
eval_ant_hh,0.7977277790153708,0.7238805970149254,0.0,0.01,attention,neardraw_d2_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.911275,0.8125,0.0,0.01,attention,neardraw_d2_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.9127967513536026,0.826530612244898,0.4387755102040816,0.01,attention,neardraw_d2_s42,neardraw,725,81,72,42
mean,0.8343804621770184,0.7157278023149558,0.1096938775510204,0.01,attention,neardraw_d2_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.7253460207612457,0.5,0.0,0.01,attention,neardraw_d3_s42,neardraw,725,81,72,42
eval_ant_hh,0.7792381376698596,0.7164179104477612,0.0,0.01,attention,neardraw_d3_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.915975,0.8175,0.4,0.01,attention,neardraw_d3_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.9068096626405664,0.826530612244898,0.0,0.01,attention,neardraw_d3_s42,neardraw,725,81,72,42
mean,0.831842205267918,0.7151121306731647,0.1,0.01,attention,neardraw_d3_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.7031790657439447,0.5,0.0,0.01,attention,neardraw_d4_s42,neardraw,725,81,72,42
eval_ant_hh,0.7899309423034083,0.7089552238805971,0.0,0.01,attention,neardraw_d4_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.9051,0.8,0.0,0.01,attention,neardraw_d4_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.9107142857142856,0.8367346938775511,0.0,0.01,attention,neardraw_d4_s42,neardraw,725,81,72,42
mean,0.8272310734404097,0.711422479439537,0.0,0.01,attention,neardraw_d4_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.7059904844290658,0.5,0.0,0.01,attention,neardraw_d5_s42,neardraw,725,81,72,42
eval_ant_hh,0.7696591668523057,0.6940298507462687,0.0,0.01,attention,neardraw_d5_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.9164,0.82,0.465,0.01,attention,neardraw_d5_s42,neardraw,725,81,72,42
