arm,iteration,auroc,accuracy,tpr_at_fpr
gptoss,0,0.4988,0.5015,0.0083
gptoss,1,0.7537,0.7031,0.0186
gptoss,2,0.7594,0.6906,0.1171
gptoss,3,0.7976,0.7369,0.1165
nemotron,0,0.4988,0.5015,0.0083
nemotron,1,0.8123,0.7057,0.1886
nemotron,2,0.8338,0.7434,0.0529
nemotron,3,0.7645,0.6861,0.0871
