dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
mean,0.764198071549304,0.7593935447313254,0.0,0.01,linear_then_max,full_s606,full,736,0,142,606
eval_ai_dilemmas,0.6911764705882353,0.6911764705882353,0.0,0.01,linear_then_max,full_s707,full,736,0,142,707
eval_ant_hh,0.7026063711294276,0.7014925373134329,0.0,0.01,linear_then_max,full_s707,full,736,0,142,707
eval_balanced_refusal,0.755,0.755,0.0,0.01,linear_then_max,full_s707,full,736,0,142,707
eval_daily_dilemmas,0.8234069137859223,0.8163265306122449,0.5408163265306123,0.01,linear_then_max,full_s707,full,736,0,142,707
mean,0.7430474388758963,0.7409988846284783,0.135204081632653,0.01,linear_then_max,full_s707,full,736,0,142,707
eval_ai_dilemmas,0.6323529411764706,0.6397058823529411,0.0,0.01,linear_then_max,full_s808,full,736,0,142,808
eval_ant_hh,0.713744709289374,0.6865671641791045,0.0,0.01,linear_then_max,full_s808,full,736,0,142,808
eval_balanced_refusal,0.7710374999999999,0.77,0.48,0.01,linear_then_max,full_s808,full,736,0,142,808
eval_daily_dilemmas,0.8662015826738858,0.8622448979591837,0.6224489795918368,0.01,linear_then_max,full_s808,full,736,0,142,808
mean,0.7458341832849326,0.7396294861228074,0.2756122448979592,0.01,linear_then_max,full_s808,full,736,0,142,808
eval_ai_dilemmas,0.5661764705882353,0.5735294117647058,0.0,0.01,linear_then_max,full_s909,full,736,0,142,909
eval_ant_hh,0.7039429717086212,0.6716417910447762,0.0,0.01,linear_then_max,full_s909,full,736,0,142,909
