dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_balanced_refusal,0.900925,0.8025,0.47,0.01,attention,full_s101,full,736,0,142,101
eval_daily_dilemmas,0.883173677634319,0.7959183673469388,0.2959183673469387,0.01,attention,full_s101,full,736,0,142,101
mean,0.8121413087657627,0.699977726165093,0.1914795918367346,0.01,attention,full_s101,full,736,0,142,101
eval_ai_dilemmas,0.7036115916955018,0.5,0.0,0.01,attention,full_s202,full,736,0,142,202
eval_ant_hh,0.7864780574738249,0.6940298507462687,0.0,0.01,attention,full_s202,full,736,0,142,202
eval_balanced_refusal,0.910025,0.81,0.46,0.01,attention,full_s202,full,736,0,142,202
eval_daily_dilemmas,0.8984798000832988,0.7959183673469388,0.0,0.01,attention,full_s202,full,736,0,142,202
mean,0.8246486123131563,0.6999870545233018,0.115,0.01,attention,full_s202,full,736,0,142,202
eval_ai_dilemmas,0.7029628027681661,0.5,0.0,0.01,attention,full_s303,full,736,0,142,303
eval_ant_hh,0.7740031187346847,0.6791044776119403,0.0,0.01,attention,full_s303,full,736,0,142,303
eval_balanced_refusal,0.9124875,0.805,0.5,0.01,attention,full_s303,full,736,0,142,303
eval_daily_dilemmas,0.8980112453144523,0.7959183673469388,0.2857142857142857,0.01,attention,full_s303,full,736,0,142,303
mean,0.8218661667043258,0.6950057112397199,0.1964285714285714,0.01,attention,full_s303,full,736,0,142,303
eval_ai_dilemmas,0.6866349480968859,0.5,0.0,0.01,attention,full_s404,full,736,0,142,404
eval_ant_hh,0.7907106259746046,0.6940298507462687,0.0,0.01,attention,full_s404,full,736,0,142,404
eval_balanced_refusal,0.8938625,0.79,0.38,0.01,attention,full_s404,full,736,0,142,404
eval_daily_dilemmas,0.8833298625572678,0.8010204081632653,0.3163265306122449,0.01,attention,full_s404,full,736,0,142,404
mean,0.8136344841571895,0.6962625647273835,0.1740816326530612,0.01,attention,full_s404,full,736,0,142,404
eval_ai_dilemmas,0.7029628027681661,0.5,0.0,0.01,attention,full_s42,full,736,0,142,42
eval_ant_hh,0.7809088883938516,0.7089552238805971,0.0,0.01,attention,full_s42,full,736,0,142,42
eval_balanced_refusal,0.906725,0.805,0.47,0.01,attention,full_s42,full,736,0,142,42
eval_daily_dilemmas,0.8873386089129529,0.8061224489795918,0.3265306122448979,0.01,attention,full_s42,full,736,0,142,42
mean,0.8194838250187426,0.7050194182150473,0.1991326530612244,0.01,attention,full_s42,full,736,0,142,42
