arch,n_seeds,full,full_sd,far,far_sd,far_minus_full,p_far_vs_full,far_beats_full,seed_sd,neardraw_mean,neardraw_sd,n_draws,far_pctile_in_draws
attention,10,0.8169819468893216,0.005641122960494068,0.8114592294068077,0.00402684386238152,-0.005522717482513951,0.03355568276783495,2/10,0.0047701906489910845,0.8168634597315659,0.005687120605628077,10,10.0
linear_then_max,10,0.6637432191303521,0.0961605928938149,0.6816605071172595,0.07821685471715821,0.017917287986907247,0.7062159599916538,6/10,0.08531138749428947,0.7114801848181099,0.05596503065448374,10,30.0
linear_then_mean,10,0.7735553283689753,0.0023765850257607764,0.775830638362278,0.002818733636127325,0.002275309993302654,0.11078859035390476,7/10,0.0025375157895796362,0.7766765985560384,0.0034389149584390776,10,50.0
linear_then_rolling_max,10,0.8012201968248791,0.027998409160104695,0.8071349180903431,0.026989536069290502,0.00591472126546404,0.5019137106646098,7/10,0.02676517155066057,0.7683845051703729,0.07991607409179446,10,80.0
linear_then_softmax,10,0.882664686288457,0.012502474936135549,0.8840462352210382,0.0102373129279746,0.0013815489325812002,0.7632573420970873,6/10,0.011121411543376378,0.8822500362784786,0.011461943199884205,10,60.0
