dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
mean,0.685579342423847,0.6823449454408629,0.13,0.01,linear_then_max,neardraw_d1_s42,neardraw,662,74,142,42
mean,0.708703214514651,0.7002868722115712,0.1607142857142857,0.01,linear_then_max,neardraw_d2_s42,neardraw,662,74,142,42
mean,0.7263214499410359,0.7218304411316765,0.1301020408163265,0.01,linear_then_max,neardraw_d3_s42,neardraw,662,74,142,42
mean,0.6422953108132565,0.6403119792693197,0.0,0.01,linear_then_max,neardraw_d4_s42,neardraw,662,74,142,42
mean,0.7124456172271432,0.7111172080772608,0.0073529411764705,0.01,linear_then_max,neardraw_d5_s42,neardraw,662,74,142,42
mean,0.6512032971612184,0.6430787389582698,0.0,0.01,linear_then_max,neardraw_d6_s42,neardraw,662,74,142,42
mean,0.8147415520745238,0.8060451008761713,0.1683673469387755,0.01,linear_then_max,neardraw_d7_s42,neardraw,662,74,142,42
mean,0.7034401947389309,0.701447788070452,0.0,0.01,linear_then_max,neardraw_d8_s42,neardraw,662,74,142,42
mean,0.6757406843698195,0.6692224203114081,0.0,0.01,linear_then_max,neardraw_d9_s42,neardraw,662,74,142,42
mean,0.7782484312778633,0.6833406720897315,0.0,0.01,linear_then_mean,far_s101,far,662,74,142,101
mean,0.7770760718641856,0.6776229596316139,0.0980102040816326,0.01,linear_then_mean,far_s202,far,662,74,142,202
mean,0.7805743841939792,0.6794979596316139,0.1094642857142857,0.01,linear_then_mean,far_s303,far,662,74,142,303
mean,0.7734024491946053,0.6750351745175682,0.0725,0.01,linear_then_mean,far_s404,far,662,74,142,404
mean,0.7742936855650305,0.6732317777857412,0.1215681272509003,0.01,linear_then_mean,far_s42,far,662,74,142,42
mean,0.7735729896784214,0.673796429019369,0.0946323529411764,0.01,linear_then_mean,far_s505,far,662,74,142,505
mean,0.7756082352952669,0.6775881210693231,0.0725,0.01,linear_then_mean,far_s606,far,662,74,142,606
mean,0.7754166344139144,0.6763636312734048,0.0908823529411764,0.01,linear_then_mean,far_s707,far,662,74,142,707
mean,0.771393868836761,0.6681110802529967,0.1005612244897959,0.01,linear_then_mean,far_s808,far,662,74,142,808
mean,0.7787196333027525,0.6913024314203293,0.07375,0.01,linear_then_mean,far_s909,far,662,74,142,909
mean,0.7766228183797919,0.6750626108652416,0.0,0.01,linear_then_mean,full_s101,full,736,0,142,101
mean,0.7751886685239595,0.6687218245507158,0.07875,0.01,linear_then_mean,full_s202,full,736,0,142,202
mean,0.7695824967282495,0.6750022620988695,0.075,0.01,linear_then_mean,full_s303,full,736,0,142,303
mean,0.7744197633107752,0.6737615904570783,0.0,0.01,linear_then_mean,full_s404,full,736,0,142,404
mean,0.7746145856179792,0.683219974556987,0.07625,0.01,linear_then_mean,full_s42,full,736,0,142,42
mean,0.7729679593370333,0.6738842141334146,0.08375,0.01,linear_then_mean,full_s505,full,736,0,142,505
mean,0.7755220252089188,0.6813381210693232,0.1143622448979591,0.01,linear_then_mean,full_s606,full,736,0,142,606
mean,0.7694799732482314,0.6737267518947878,0.07875,0.01,linear_then_mean,full_s707,full,736,0,142,707
mean,0.7739523609314772,0.6731017518947877,0.0,0.01,linear_then_mean,full_s808,full,736,0,142,808
mean,0.7732026324033374,0.6768679337406606,0.07875,0.01,linear_then_mean,full_s909,full,736,0,142,909
