arm,tau,prob_threshold,cohort,rate
gptoss120b,-30.0,9.357622968839299e-14,source_all,0.6185567010309279
gptoss120b,-29.75,1.2015425731770343e-13,source_all,0.6185567010309279
gptoss120b,-29.5,1.5428112031916497e-13,source_all,0.6185567010309279
gptoss120b,-29.25,1.9810087980485874e-13,source_all,0.6185567010309279
gptoss120b,-29.0,2.543665647376276e-13,source_all,0.6185567010309279
gptoss120b,-28.75,3.2661313427863805e-13,source_all,0.6185567010309279
gptoss120b,-28.5,4.193795658377786e-13,source_all,0.6185567010309279
gptoss120b,-28.25,5.384940217751136e-13,source_all,0.6185567010309279
gptoss120b,-28.0,6.914400106935423e-13,source_all,0.6185567010309279
gptoss120b,-27.75,8.878265478451776e-13,source_all,0.6185567010309279
gptoss120b,-27.5,1.1399918530430558e-12,source_all,0.6185567010309279
gptoss120b,-27.25,1.4637785141237662e-12,source_all,0.6185567010309279
gptoss120b,-27.0,1.8795288165355508e-12,source_all,0.6185567010309279
gptoss120b,-26.75,2.4133627718273897e-12,source_all,0.6185567010309279
gptoss120b,-26.5,3.0988191387122225e-12,source_all,0.6185567010309279
gptoss120b,-26.25,3.978962535821408e-12,source_all,0.6185567010309279
gptoss120b,-26.0,5.109089028037221e-12,source_all,0.6185567010309279
gptoss120b,-25.75,6.560200168110743e-12,source_all,0.6185567010309279
gptoss120b,-25.5,8.423463754397692e-12,source_all,0.6185567010309279
gptoss120b,-25.25,1.0815941557168708e-11,source_all,0.6185567010309279
gptoss120b,-25.0,1.3887943864771144e-11,source_all,0.6185567010309279
gptoss120b,-24.75,1.7832472907828393e-11,source_all,0.6185567010309279
gptoss120b,-24.5,2.289734845593124e-11,source_all,0.6185567010309279
gptoss120b,-24.25,2.940077739198032e-11,source_all,0.6185567010309279
gptoss120b,-24.0,3.7751345441365816e-11,source_all,0.6185567010309279
gptoss120b,-23.75,4.847368706035286e-11,source_all,0.6185567010309279
gptoss120b,-23.5,6.224144622520383e-11,source_all,0.6185567010309279
gptoss120b,-23.25,7.991959892315218e-11,source_all,0.6185567010309279
gptoss120b,-23.0,1.0261879630648827e-10,source_all,0.6185567010309279
gptoss120b,-22.75,1.3176514268359263e-10,source_all,0.6185567010309279
gptoss120b,-22.5,1.6918979223288784e-10,source_all,0.6185567010309279
gptoss120b,-22.25,2.1724399346070674e-10,source_all,0.6185567010309279
gptoss120b,-22.0,2.7894680920908113e-10,source_all,0.6185567010309279
gptoss120b,-21.75,3.581747929000289e-10,source_all,0.6185567010309279
gptoss120b,-21.5,4.599055376537186e-10,source_all,0.6185567010309279
gptoss120b,-21.25,5.905303995456778e-10,source_all,0.6185567010309279
gptoss120b,-21.0,7.582560422162385e-10,source_all,0.6185567010309279
gptoss120b,-20.75,9.736200303530205e-10,source_all,0.6185567010309279
gptoss120b,-20.5,1.2501528648238605e-09,source_all,0.6185567010309279
gptoss120b,-20.25,1.6052280526088547e-09,source_all,0.6185567010309279
gptoss120b,-20.0,2.0611536181902037e-09,source_all,0.6185567010309279
gptoss120b,-19.75,2.646573631904765e-09,source_all,0.6185567010309279
gptoss120b,-19.5,3.398267807946847e-09,source_all,0.6185567010309279
gptoss120b,-19.25,4.363462233903898e-09,source_all,0.6185567010309279
gptoss120b,-19.0,5.602796406145941e-09,source_all,0.6185567010309279
gptoss120b,-18.75,7.194132978569834e-09,source_all,0.6185567010309279
gptoss120b,-18.5,9.23744957664012e-09,source_all,0.6185567010309279
gptoss120b,-18.25,1.1861120010657661e-08,source_all,0.6185567010309279
gptoss120b,-18.0,1.522997951276035e-08,source_all,0.6185567010309279
gptoss120b,-17.75,1.955568070542584e-08,source_all,0.6185567010309279
gptoss120b,-17.5,2.5109990926928157e-08,source_all,0.6185567010309279
gptoss120b,-17.25,3.2241866333029355e-08,source_all,0.6185567010309279
gptoss120b,-17.0,4.1399375473943306e-08,source_all,0.6185567010309279
gptoss120b,-16.75,5.3157849718487075e-08,source_all,0.6185567010309279
gptoss120b,-16.5,6.825602910446286e-08,source_all,0.6185567010309279
gptoss120b,-16.25,8.764247451323235e-08,source_all,0.6185567010309279
gptoss120b,-16.0,1.12535162055095e-07,source_all,0.6185567010309279
gptoss120b,-15.75,1.4449800373124837e-07,source_all,0.6185567010309279
gptoss120b,-15.5,1.8553910183683314e-07,source_all,0.6185567010309279
gptoss120b,-15.25,2.38236909993343e-07,source_all,0.6185567010309279
gptoss120b,-15.0,3.059022269256247e-07,source_all,0.6185567010309279
gptoss120b,-14.75,3.927862002670442e-07,source_all,0.6185567010309279
gptoss120b,-14.5,5.043474082014517e-07,source_all,0.6185567010309279
gptoss120b,-14.25,6.475947982049267e-07,source_all,0.6185567010309279
gptoss120b,-14.0,8.315280276641321e-07,source_all,0.6185567010309279
gptoss120b,-13.75,1.067702870044147e-06,source_all,0.6185567010309279
gptoss120b,-13.5,1.3709572068578448e-06,source_all,0.6185567010309279
gptoss120b,-13.25,1.7603432133424856e-06,source_all,0.6185567010309279
gptoss120b,-13.0,2.2603242979035746e-06,source_all,0.6185567010309279
gptoss120b,-12.75,2.902311985211097e-06,source_all,0.6185567010309279
gptoss120b,-12.5,3.726639284186561e-06,source_all,0.6185567010309279
gptoss120b,-12.25,4.785094494890119e-06,source_all,0.6185567010309279
gptoss120b,-12.0,6.144174602214718e-06,source_all,0.6185567010309279
gptoss120b,-11.75,7.889262586245034e-06,source_all,0.6185567010309279
gptoss120b,-11.5,1.0129990980873921e-05,source_all,0.6195876288659794
gptoss120b,-11.25,1.3007128466476033e-05,source_all,0.6195876288659794
gptoss120b,-11.0,1.670142184809518e-05,source_all,0.622680412371134
gptoss120b,-10.75,2.144494842091395e-05,source_all,0.622680412371134
gptoss120b,-10.5,2.7535691114583473e-05,source_all,0.6247422680412371
gptoss120b,-10.25,3.5356250741744315e-05,source_all,0.6288659793814433
gptoss120b,-10.0,4.5397868702434395e-05,source_all,0.6309278350515464
gptoss120b,-9.75,5.829126566113865e-05,source_all,0.6360824742268041
gptoss120b,-9.5,7.484622751061123e-05,source_all,0.6371134020618556
gptoss120b,-9.25,9.610241549947396e-05,source_all,0.6371134020618556
gptoss120b,-9.0,0.00012339457598623172,source_all,0.6391752577319587
gptoss120b,-8.75,0.00015843621910252592,source_all,0.6422680412371135
gptoss120b,-8.5,0.00020342697805520653,source_all,0.6443298969072165
