concept,arm,vintage,seed,dataset,n_rows,auroc_pipeline,auroc_rank
instructions,gptoss120b,1,46,bbq_substitution,200,0.52825,0.52825
instructions,gptoss120b,1,47,bbq_substitution,200,0.5205,0.5205
instructions,gptoss120b,1,48,bbq_substitution,200,0.5268999999999999,0.52695
instructions,gptoss120b,1,49,bbq_substitution,200,0.54335,0.5434
instructions,gptoss120b,1,50,bbq_substitution,200,0.53605,0.53605
instructions,gptoss120b,1,51,bbq_substitution,200,0.5143,0.5143
instructions,gptoss120b,2,42,bbq_substitution,200,0.40159999999999996,0.40164999999999995
instructions,gptoss120b,2,43,bbq_substitution,200,0.41785,0.41779999999999995
instructions,gptoss120b,2,44,bbq_substitution,200,0.43655,0.4365
instructions,gptoss120b,2,45,bbq_substitution,200,0.4067500000000001,0.4068000000000001
instructions,gptoss120b,2,46,bbq_substitution,200,0.41990000000000005,0.41985
instructions,gptoss120b,2,47,bbq_substitution,200,0.39305,0.39305
instructions,gptoss120b,2,48,bbq_substitution,200,0.4093,0.40935
instructions,gptoss120b,2,49,bbq_substitution,200,0.41615,0.41605
instructions,gptoss120b,2,50,bbq_substitution,200,0.44210000000000005,0.44195000000000007
instructions,gptoss120b,2,51,bbq_substitution,200,0.4277,0.42765
instructions,gptoss120b,3,42,bbq_substitution,200,0.5138499999999999,0.5138
instructions,gptoss120b,3,43,bbq_substitution,200,0.49104999999999993,0.49099999999999994
instructions,gptoss120b,3,44,bbq_substitution,200,0.5023,0.5021500000000001
instructions,gptoss120b,3,45,bbq_substitution,200,0.5044,0.5045
instructions,gptoss120b,3,46,bbq_substitution,200,0.5025499999999999,0.5024500000000001
instructions,gptoss120b,3,47,bbq_substitution,200,0.494,0.49405
instructions,gptoss120b,3,48,bbq_substitution,200,0.51485,0.5148
instructions,gptoss120b,3,49,bbq_substitution,200,0.4873,0.4873
instructions,gptoss120b,3,50,bbq_substitution,200,0.509,0.509
instructions,gptoss120b,3,51,bbq_substitution,200,0.494,0.4939
instructions,deepseekv4pro,0,42,hc_context_drift,194,0.4753958975449038,0.47497077266447024
instructions,deepseekv4pro,0,43,hc_context_drift,194,0.40004251248804334,0.4003082155383144
instructions,deepseekv4pro,0,44,hc_context_drift,194,0.4642895100435753,0.46402380699330426
instructions,deepseekv4pro,0,45,hc_context_drift,194,0.44468062493357424,0.4443086406631948
instructions,deepseekv4pro,0,46,hc_context_drift,194,0.4514826230205123,0.45142948241045805
instructions,deepseekv4pro,0,47,hc_context_drift,194,0.4444680624933574,0.4416516101604846
instructions,deepseekv4pro,0,48,hc_context_drift,194,0.45010096715910297,0.4503135295993198
instructions,deepseekv4pro,0,49,hc_context_drift,194,0.42634711446487406,0.42602827080454886
instructions,deepseekv4pro,0,50,hc_context_drift,194,0.45902858964820914,0.4578063556169625
instructions,deepseekv4pro,0,51,hc_context_drift,194,0.3805930492082049,0.3804336273780423
instructions,deepseekv4pro,1,42,hc_context_drift,194,0.49893718779891594,0.49893718779891594
instructions,deepseekv4pro,1,43,hc_context_drift,194,0.5078116696779679,0.5079710915081305
instructions,deepseekv4pro,1,44,hc_context_drift,194,0.5009033903709215,0.5009033903709215
instructions,deepseekv4pro,1,45,hc_context_drift,194,0.5013816558614093,0.501594218301626
instructions,deepseekv4pro,1,46,hc_context_drift,194,0.509140184929323,0.5091933255393771
instructions,deepseekv4pro,1,47,hc_context_drift,194,0.49580189180571793,0.4959081730258264
instructions,deepseekv4pro,1,48,hc_context_drift,194,0.5060580295461792,0.5061643107662877
instructions,deepseekv4pro,1,49,hc_context_drift,194,0.5024444680624933,0.5024976086725477
instructions,deepseekv4pro,1,50,hc_context_drift,194,0.5004251248804337,0.5006908279307046
instructions,deepseekv4pro,1,51,hc_context_drift,194,0.5040918269741737,0.5041449675842279
instructions,deepseekv4pro,2,42,hc_context_drift,194,0.46094165161016043,0.4609947922202147
instructions,deepseekv4pro,2,43,hc_context_drift,194,0.4557338718248485,0.45568073121479435
instructions,deepseekv4pro,2,44,hc_context_drift,194,0.4691784461685621,0.4694441492188331
instructions,deepseekv4pro,2,45,hc_context_drift,194,0.46370496333297906,0.4640238069933043
instructions,deepseekv4pro,2,46,hc_context_drift,194,0.4744925071739824,0.4747050696141992
instructions,deepseekv4pro,2,47,hc_context_drift,194,0.4678499309172069,0.46806249335742367
instructions,deepseekv4pro,2,48,hc_context_drift,194,0.4709320863003507,0.47109150813051337
instructions,deepseekv4pro,2,49,hc_context_drift,194,0.47874375597831864,0.4790094590285897
instructions,deepseekv4pro,2,50,hc_context_drift,194,0.48134764587097456,0.4814007864810288
instructions,deepseekv4pro,2,51,hc_context_drift,194,0.4619513232011904,0.4622170262514614
instructions,deepseekv4pro,3,42,hc_context_drift,194,0.4842172388139016,0.4846955043043894
instructions,deepseekv4pro,3,43,hc_context_drift,194,0.4869805505367202,0.48676798809650335
instructions,deepseekv4pro,3,44,hc_context_drift,194,0.4835795514932512,0.4833669890530344
instructions,deepseekv4pro,3,45,hc_context_drift,194,0.487458816027208,0.48687426931661176
instructions,deepseekv4pro,3,46,hc_context_drift,194,0.4850674885747689,0.4851737697948772
instructions,deepseekv4pro,3,47,hc_context_drift,194,0.4896375810394304,0.4894250185992135
instructions,deepseekv4pro,3,48,hc_context_drift,194,0.48735253480709956,0.4868211287065575
instructions,deepseekv4pro,3,49,hc_context_drift,194,0.48793708151769577,0.48777765968753317
instructions,deepseekv4pro,3,50,hc_context_drift,194,0.4835795514932511,0.48368583271335963
instructions,deepseekv4pro,3,51,hc_context_drift,194,0.47507705388457855,0.47491763205441595
instructions,gptoss120b,0,42,hc_context_drift,194,0.4753958975449038,0.47497077266447024
instructions,gptoss120b,0,43,hc_context_drift,194,0.40004251248804334,0.4003082155383144
instructions,gptoss120b,0,44,hc_context_drift,194,0.4642895100435753,0.46402380699330426
instructions,gptoss120b,0,45,hc_context_drift,194,0.44468062493357424,0.4443086406631948
instructions,gptoss120b,0,46,hc_context_drift,194,0.4514826230205123,0.45142948241045805
instructions,gptoss120b,0,47,hc_context_drift,194,0.4444680624933574,0.4416516101604846
instructions,gptoss120b,0,48,hc_context_drift,194,0.45010096715910297,0.4503135295993198
instructions,gptoss120b,0,49,hc_context_drift,194,0.42634711446487406,0.42602827080454886
instructions,gptoss120b,0,50,hc_context_drift,194,0.45902858964820914,0.4578063556169625
instructions,gptoss120b,0,51,hc_context_drift,194,0.3805930492082049,0.3804336273780423
instructions,gptoss120b,1,42,hc_context_drift,194,0.4880433627378042,0.48836220639812944
instructions,gptoss120b,1,43,hc_context_drift,194,0.49325114252311614,0.49346370496333297
instructions,gptoss120b,1,44,hc_context_drift,194,0.4868211287065575,0.48639600382612386
instructions,gptoss120b,1,45,hc_context_drift,194,0.49378254862365817,0.4936762674035498
instructions,gptoss120b,1,46,hc_context_drift,194,0.4781592092677224,0.478052928047614
instructions,gptoss120b,1,47,hc_context_drift,194,0.47613986608566267,0.47587416303539165
instructions,gptoss120b,1,48,hc_context_drift,194,0.4927728770326283,0.49256031459241145
instructions,gptoss120b,1,49,hc_context_drift,194,0.49064725263046016,0.49117865873100225
instructions,gptoss120b,1,50,hc_context_drift,194,0.4783717717079392,0.47863747475821017
instructions,gptoss120b,1,51,hc_context_drift,194,0.47964714634924016,0.4793283026889149
instructions,gptoss120b,2,42,hc_context_drift,194,0.45971941757891377,0.4601445424593474
instructions,gptoss120b,2,43,hc_context_drift,194,0.4321925815708364,0.43261770645127007
instructions,gptoss120b,2,44,hc_context_drift,194,0.47061324264002546,0.47103836752045913
instructions,gptoss120b,2,45,hc_context_drift,194,0.43447762780316723,0.43463704963332983
instructions,gptoss120b,2,46,hc_context_drift,194,0.44298012541183973,0.44303326602189397
instructions,gptoss120b,2,47,hc_context_drift,194,0.468912743118291,0.4687533212881284
instructions,gptoss120b,2,48,hc_context_drift,194,0.4683813370177489,0.4685407588479116
instructions,gptoss120b,2,49,hc_context_drift,194,0.4695504304389414,0.4698692740992666
instructions,gptoss120b,2,50,hc_context_drift,194,0.4459559995748751,0.4460091401849293
instructions,gptoss120b,2,51,hc_context_drift,194,0.4657243065150388,0.4656180252949304
instructions,gptoss120b,3,42,hc_context_drift,194,0.4956424699755553,0.49511106387501325
instructions,gptoss120b,3,43,hc_context_drift,194,0.4879370815176958,0.488255925178021
instructions,gptoss120b,3,44,hc_context_drift,194,0.48926559676905085,0.4893718779891593
instructions,gptoss120b,3,45,hc_context_drift,194,0.4965990009565309,0.4965990009565309
instructions,gptoss120b,3,46,hc_context_drift,194,0.4953236263152301,0.49537676692528426
instructions,gptoss120b,3,47,hc_context_drift,194,0.49107237751089383,0.49144436178127326
instructions,gptoss120b,3,48,hc_context_drift,194,0.4937825486236582,0.4938888298437666
instructions,gptoss120b,3,49,hc_context_drift,194,0.48963758103943034,0.48990328408970135
instructions,gptoss120b,3,50,hc_context_drift,194,0.49532362631523014,0.49548304814539273
instructions,gptoss120b,3,51,hc_context_drift,194,0.4941545328940376,0.494260814114146
instructions,deepseekv4pro,0,42,hc_contradiction,200,0.4713,0.47159999999999996
instructions,deepseekv4pro,0,43,hc_contradiction,200,0.4193,0.41910000000000003
instructions,deepseekv4pro,0,44,hc_contradiction,200,0.47284999999999994,0.47350000000000003
instructions,deepseekv4pro,0,45,hc_contradiction,200,0.45189999999999997,0.45149999999999996
instructions,deepseekv4pro,0,46,hc_contradiction,200,0.4543,0.45439999999999997
instructions,deepseekv4pro,0,47,hc_contradiction,200,0.4472,0.44599999999999995
instructions,deepseekv4pro,0,48,hc_contradiction,200,0.45205,0.4538
instructions,deepseekv4pro,0,49,hc_contradiction,200,0.4314,0.43155000000000004
instructions,deepseekv4pro,0,50,hc_contradiction,200,0.4669,0.46525
instructions,deepseekv4pro,0,51,hc_contradiction,200,0.3946,0.39485
instructions,deepseekv4pro,1,42,hc_contradiction,200,0.4909,0.49105
instructions,deepseekv4pro,1,43,hc_contradiction,200,0.51465,0.51475
instructions,deepseekv4pro,1,44,hc_contradiction,200,0.49920000000000003,0.4997
instructions,deepseekv4pro,1,45,hc_contradiction,200,0.49665,0.4967
instructions,deepseekv4pro,1,46,hc_contradiction,200,0.51205,0.5121
instructions,deepseekv4pro,1,47,hc_contradiction,200,0.49365000000000003,0.4938
instructions,deepseekv4pro,1,48,hc_contradiction,200,0.5042,0.5045999999999999
instructions,deepseekv4pro,1,49,hc_contradiction,200,0.50015,0.5002
instructions,deepseekv4pro,1,50,hc_contradiction,200,0.50295,0.50305
instructions,deepseekv4pro,1,51,hc_contradiction,200,0.50025,0.50075
instructions,deepseekv4pro,2,42,hc_contradiction,200,0.46455,0.46449999999999997
instructions,deepseekv4pro,2,43,hc_contradiction,200,0.4625,0.4629
instructions,deepseekv4pro,2,44,hc_contradiction,200,0.47605000000000003,0.47685
instructions,deepseekv4pro,2,45,hc_contradiction,200,0.4780500000000001,0.4787
instructions,deepseekv4pro,2,46,hc_contradiction,200,0.4696,0.46985000000000005
instructions,deepseekv4pro,2,47,hc_contradiction,200,0.47070000000000006,0.4707
instructions,deepseekv4pro,2,48,hc_contradiction,200,0.4785,0.47875
instructions,deepseekv4pro,2,49,hc_contradiction,200,0.48405,0.48460000000000003
instructions,deepseekv4pro,2,50,hc_contradiction,200,0.4888,0.489
instructions,deepseekv4pro,2,51,hc_contradiction,200,0.46935,0.47000000000000003
instructions,deepseekv4pro,3,42,hc_contradiction,200,0.4774,0.47814999999999996
instructions,deepseekv4pro,3,43,hc_contradiction,200,0.47640000000000005,0.47625
instructions,deepseekv4pro,3,44,hc_contradiction,200,0.48250000000000004,0.4827
instructions,deepseekv4pro,3,45,hc_contradiction,200,0.4821,0.48255000000000003
instructions,deepseekv4pro,3,46,hc_contradiction,200,0.4805,0.48005000000000003
instructions,deepseekv4pro,3,47,hc_contradiction,200,0.47269999999999995,0.4729499999999999
instructions,deepseekv4pro,3,48,hc_contradiction,200,0.47765,0.478
instructions,deepseekv4pro,3,49,hc_contradiction,200,0.48400000000000004,0.48395
instructions,deepseekv4pro,3,50,hc_contradiction,200,0.47714999999999996,0.4771500000000001
instructions,deepseekv4pro,3,51,hc_contradiction,200,0.46515,0.4651
instructions,gptoss120b,0,42,hc_contradiction,200,0.4713,0.47159999999999996
instructions,gptoss120b,0,43,hc_contradiction,200,0.4193,0.41910000000000003
instructions,gptoss120b,0,44,hc_contradiction,200,0.47284999999999994,0.47350000000000003
instructions,gptoss120b,0,45,hc_contradiction,200,0.45189999999999997,0.45149999999999996
instructions,gptoss120b,0,46,hc_contradiction,200,0.4543,0.45439999999999997
instructions,gptoss120b,0,47,hc_contradiction,200,0.4472,0.44599999999999995
instructions,gptoss120b,0,48,hc_contradiction,200,0.45205,0.4538
instructions,gptoss120b,0,49,hc_contradiction,200,0.4314,0.43155000000000004
instructions,gptoss120b,0,50,hc_contradiction,200,0.4669,0.46525
instructions,gptoss120b,0,51,hc_contradiction,200,0.3946,0.39485
instructions,gptoss120b,1,42,hc_contradiction,200,0.48355000000000004,0.48405
instructions,gptoss120b,1,43,hc_contradiction,200,0.4929,0.49305000000000004
instructions,gptoss120b,1,44,hc_contradiction,200,0.48885,0.4891
instructions,gptoss120b,1,45,hc_contradiction,200,0.49385,0.4941
instructions,gptoss120b,1,46,hc_contradiction,200,0.48585,0.48625
instructions,gptoss120b,1,47,hc_contradiction,200,0.473,0.47364999999999996
