arm,vintage,seed,n_redteam_rows,dataset,auroc_pipeline,auroc_rank
deepseekv4pro,0,42,0,anthropic,0.9529932322972339,0.9530367605868371
deepseekv4pro,0,42,0,mt,0.808964339319911,0.8814243569173439
deepseekv4pro,0,42,0,mts,0.9493313442378389,0.9485854334274603
deepseekv4pro,0,42,0,toolace,0.7260559190957764,0.7261674598453303
deepseekv4pro,0,42,0,mean,0.8593362087376901,0.8773035026942428
deepseekv4pro,0,43,0,anthropic,0.9488618298535937,0.9573479537918819
deepseekv4pro,0,43,0,mt,0.8764297914186636,0.8904818591170229
deepseekv4pro,0,43,0,mts,0.9362512653844104,0.9363578240716074
deepseekv4pro,0,43,0,toolace,0.6893590124925639,0.6892474717430102
deepseekv4pro,0,43,0,mean,0.8627254747873079,0.8683587771808805
deepseekv4pro,0,44,0,anthropic,0.9548460234068648,0.9566041877999667
deepseekv4pro,0,44,0,mt,0.82286113555199,0.9186636302468816
deepseekv4pro,0,44,0,mts,0.951302679950983,0.9552719910490702
deepseekv4pro,0,44,0,toolace,0.7091946757882213,0.7091946757882213
deepseekv4pro,0,44,0,mean,0.8595511286745148,0.884933621221035
deepseekv4pro,0,45,0,anthropic,0.9572022286484276,0.9571776257021303
deepseekv4pro,0,45,0,mt,0.9051032555250764,0.9027483049531597
deepseekv4pro,0,45,0,mts,0.9375832489743727,0.9376098886461719
deepseekv4pro,0,45,0,toolace,0.7091203152885188,0.7091389054134444
deepseekv4pro,0,45,0,mean,0.8772522621090989,0.8766686811787266
deepseekv4pro,0,46,0,anthropic,0.960851034837772,0.9617651289194387
deepseekv4pro,0,46,0,mt,0.9033693908182807,0.9069665131204389
deepseekv4pro,0,46,0,mts,0.9588150673983696,0.9587617880547713
deepseekv4pro,0,46,0,toolace,0.7173929208804283,0.7173929208804284
deepseekv4pro,0,46,0,mean,0.8851071034837126,0.8862215877437694
deepseekv4pro,0,47,0,anthropic,0.9459151539008916,0.9598044633529652
deepseekv4pro,0,47,0,mt,0.8377930748926039,0.9178872729154806
deepseekv4pro,0,47,0,mts,0.9393414673131226,0.9463477009963238
deepseekv4pro,0,47,0,toolace,0.7160358417608566,0.7159614812611541
deepseekv4pro,0,47,0,mean,0.8597713844668686,0.885000229631481
deepseekv4pro,0,48,0,anthropic,0.955167754243062,0.9594884101197596
deepseekv4pro,0,48,0,mt,0.8718751617411107,0.8870658868588582
deepseekv4pro,0,48,0,mts,0.9456017901859449,0.946720656401513
deepseekv4pro,0,48,0,toolace,0.7119088340273647,0.7119088340273647
deepseekv4pro,0,48,0,mean,0.8711383850493706,0.876295946851874
deepseekv4pro,0,49,0,anthropic,0.9516760284031552,0.9517820103256673
deepseekv4pro,0,49,0,mt,0.9156099580767042,0.931111226127012
deepseekv4pro,0,49,0,mts,0.9357184719484256,0.9367041398049977
deepseekv4pro,0,49,0,toolace,0.7473787923854849,0.7474345627602618
deepseekv4pro,0,49,0,mean,0.8875958127034425,0.8917579847544846
deepseekv4pro,0,50,0,anthropic,0.954282048176354,0.9586613726172992
deepseekv4pro,0,50,0,mt,0.7925055638942083,0.8962269033693908
deepseekv4pro,0,50,0,mts,0.9530875379615323,0.9610794395013054
deepseekv4pro,0,50,0,toolace,0.7029669839381321,0.7030041641879833
deepseekv4pro,0,50,0,mean,0.8507105334925567,0.8797429699189947
deepseekv4pro,0,51,0,anthropic,0.9493368559705675,0.950095762237127
deepseekv4pro,0,51,0,mt,0.9384348636198955,0.9396511567724238
deepseekv4pro,0,51,0,mts,0.9293782300602057,0.9293249507166073
deepseekv4pro,0,51,0,toolace,0.6505614217727543,0.6505056513979774
deepseekv4pro,0,51,0,mean,0.8669278428558558,0.8673943802810338
deepseekv4pro,1,42,294,anthropic,0.922654014443822,0.9226445517721691
deepseekv4pro,1,42,294,mt,0.94415402929455,0.9441022721391232
deepseekv4pro,1,42,294,mts,0.8976237412755075,0.8976237412755076
deepseekv4pro,1,42,294,toolace,0.7599828970850684,0.7599828970850684
deepseekv4pro,1,42,294,mean,0.8811036705247369,0.8810883655679671
deepseekv4pro,1,43,294,anthropic,0.9358260533846084,0.9358241608502779
deepseekv4pro,1,43,294,mt,0.9508824595000259,0.9508565809223125
deepseekv4pro,1,43,294,mts,0.8938142682082157,0.8938142682082156
deepseekv4pro,1,43,294,toolace,0.7772903033908387,0.7772903033908387
deepseekv4pro,1,43,294,mean,0.8894532711209222,0.8894463283429113
deepseekv4pro,1,44,294,anthropic,0.9165922269829975,0.9165865493800057
deepseekv4pro,1,44,294,mt,0.9472077014647275,0.9472335800424408
deepseekv4pro,1,44,294,mts,0.9016729713889925,0.9016463317171932
deepseekv4pro,1,44,294,toolace,0.766452260559191,0.766452260559191
deepseekv4pro,1,44,294,mean,0.8829812900989771,0.8829796804247076
deepseekv4pro,1,45,294,anthropic,0.9423798997713818,0.9423723296340596
deepseekv4pro,1,45,294,mt,0.9407639356140987,0.940789814191812
deepseekv4pro,1,45,294,mts,0.8832915978475144,0.8832915978475145
deepseekv4pro,1,45,294,toolace,0.7629759071980963,0.7629759071980963
deepseekv4pro,1,45,294,mean,0.8823528351077727,0.8823574122178706
deepseekv4pro,1,46,294,anthropic,0.9417988917318961,0.9418178170752017
deepseekv4pro,1,46,294,mt,0.9587236685471766,0.9587754257026034
deepseekv4pro,1,46,294,mts,0.8995684373168522,0.8995684373168522
deepseekv4pro,1,46,294,toolace,0.768199732302201,0.768199732302201
deepseekv4pro,1,46,294,mean,0.8920726824745315,0.8920903530992146
deepseekv4pro,1,47,294,anthropic,0.9388124725582523,0.9388049024209298
deepseekv4pro,1,47,294,mt,0.9554629677552922,0.9555664820661457
deepseekv4pro,1,47,294,mts,0.8856092492940488,0.8856092492940486
deepseekv4pro,1,47,294,toolace,0.7573059190957764,0.7573059190957764
deepseekv4pro,1,47,294,mean,0.8842976521758424,0.8843216382192252
deepseekv4pro,1,48,294,anthropic,0.9033425941346577,0.9033388090659965
deepseekv4pro,1,48,294,mt,0.9396511567724238,0.9395735210392837
deepseekv4pro,1,48,294,mts,0.8615269859875326,0.8615269859875326
deepseekv4pro,1,48,294,toolace,0.7925156157049376,0.7925156157049376
deepseekv4pro,1,48,294,mean,0.874259088149888,0.8742387329494375
