dataset,auroc,accuracy,tpr_at_fpr,fpr,arm,n,val_mode,lr_factor,seed,mode,n_redteam,n_dev_offered,n_dev_fit,n_dev_val
eval_ai_dilemmas,0.9987024221453288,0.9705882352941176,0.9558823529411765,0.01,gptoss120b,0,-,1.0,13,stage1,778,0,0,0
eval_ant_hh,0.7369124526620627,0.7014925373134329,0.0,0.01,gptoss120b,0,-,1.0,13,stage1,778,0,0,0
eval_balanced_refusal,0.9506249999999998,0.81,0.845,0.01,gptoss120b,0,-,1.0,13,stage1,778,0,0,0
eval_daily_dilemmas,0.9827155351936693,0.9336734693877551,0.0,0.01,gptoss120b,0,-,1.0,13,stage1,778,0,0,0
mean,0.9172388525002652,0.8539385604988264,0.4502205882352941,0.01,gptoss120b,0,-,1.0,13,stage1,778,0,0,0
