dataset,auroc,accuracy,tpr_at_fpr,fpr,arm,n,val_mode,lr_factor,seed,mode,n_redteam,n_dev_offered,n_dev_fit,n_dev_val
eval_ai_dilemmas,0.9896193771626297,0.9411764705882353,0.8970588235294118,0.01,gptoss120b,0,-,1.0,7,stage1,778,0,0,0
eval_ant_hh,0.7325685007796837,0.6865671641791045,0.0,0.01,gptoss120b,0,-,1.0,7,stage1,778,0,0,0
eval_balanced_refusal,0.93535,0.7925,0.595,0.01,gptoss120b,0,-,1.0,7,stage1,778,0,0,0
eval_daily_dilemmas,0.9705331112036651,0.9132653061224489,0.0,0.01,gptoss120b,0,-,1.0,7,stage1,778,0,0,0
mean,0.9070177472864946,0.8333772352224471,0.37301470588235297,0.01,gptoss120b,0,-,1.0,7,stage1,778,0,0,0
