dataset,auroc,accuracy,tpr_at_fpr,fpr,arm,n,val_mode,lr_factor,seed,mode,n_redteam,n_dev_offered,n_dev_fit,n_dev_val
eval_ai_dilemmas,0.9901600346020761,0.8455882352941176,0.9852941176470589,0.01,gptoss120b,0,-,1.0,42,stage1,778,0,0,0
eval_ant_hh,0.7494987747828026,0.7089552238805971,0.0,0.01,gptoss120b,0,-,1.0,42,stage1,778,0,0,0
eval_balanced_refusal,0.8697999999999999,0.7975,0.58,0.01,gptoss120b,0,-,1.0,42,stage1,778,0,0,0
eval_daily_dilemmas,0.9815701790920449,0.9540816326530612,0.0,0.01,gptoss120b,0,-,1.0,42,stage1,778,0,0,0
mean,0.8977572471192308,0.8265312729569441,0.39132352941176474,0.01,gptoss120b,0,-,1.0,42,stage1,778,0,0,0
