packed deepseekv4pro: train 747 rows / 3.40 GB, val 181 rows / 0.79 GB, eval 866 rows / 0.81 GB (host)
  seed 55 pass 1/7  (30s/pass, 46m elapsed, 129m left)
  seed 55 pass 2/7  (30s/pass, 47m elapsed, 129m left)
  seed 55 pass 3/7  (30s/pass, 47m elapsed, 128m left)
  seed 55 pass 4/7  (30s/pass, 48m elapsed, 128m left)
  seed 55 pass 5/7  (30s/pass, 48m elapsed, 127m left)
  seed 55 pass 6/7  (30s/pass, 49m elapsed, 127m left)
  seed 55 pass 7/7  (30s/pass, 49m elapsed, 126m left)
  seed 56 pass 1/7  (30s/pass, 50m elapsed, 126m left)
  seed 56 pass 2/7  (30s/pass, 50m elapsed, 125m left)
  seed 56 pass 3/7  (30s/pass, 51m elapsed, 125m left)
  seed 56 pass 4/7  (30s/pass, 51m elapsed, 124m left)
  seed 56 pass 5/7  (30s/pass, 52m elapsed, 124m left)
  seed 56 pass 6/7  (30s/pass, 52m elapsed, 124m left)
  seed 56 pass 7/7  (30s/pass, 53m elapsed, 124m left)
  seed 57 pass 1/7  (30s/pass, 53m elapsed, 123m left)
  seed 57 pass 2/7  (30s/pass, 54m elapsed, 123m left)
  seed 57 pass 3/7  (30s/pass, 55m elapsed, 122m left)
  seed 57 pass 4/7  (30s/pass, 55m elapsed, 122m left)
  seed 57 pass 5/7  (30s/pass, 56m elapsed, 121m left)
  seed 57 pass 6/7  (30s/pass, 56m elapsed, 121m left)
  seed 57 pass 7/7  (30s/pass, 57m elapsed, 120m left)
  seed 58 pass 1/7  (30s/pass, 57m elapsed, 120m left)
  seed 58 pass 2/7  (30s/pass, 58m elapsed, 120m left)
  seed 58 pass 3/7  (30s/pass, 58m elapsed, 119m left)
  seed 58 pass 4/7  (30s/pass, 59m elapsed, 119m left)
  seed 58 pass 5/7  (30s/pass, 59m elapsed, 118m left)
  seed 58 pass 6/7  (30s/pass, 60m elapsed, 118m left)
  seed 58 pass 7/7  (31s/pass, 61m elapsed, 117m left)
