packed gptoss120b: train 662 rows / 2.84 GB, val 166 rows / 0.71 GB, eval 866 rows / 0.81 GB (host)
  seed 55 pass 1/7  (84s/pass, 129m elapsed, 363m left)
  seed 55 pass 2/7  (85s/pass, 131m elapsed, 362m left)
  seed 55 pass 3/7  (85s/pass, 132m elapsed, 361m left)
  seed 55 pass 4/7  (85s/pass, 134m elapsed, 360m left)
  seed 55 pass 5/7  (85s/pass, 135m elapsed, 358m left)
  seed 55 pass 6/7  (85s/pass, 137m elapsed, 357m left)
  seed 55 pass 7/7  (84s/pass, 137m elapsed, 353m left)
  seed 56 pass 1/7  (84s/pass, 139m elapsed, 353m left)
  seed 56 pass 2/7  (85s/pass, 141m elapsed, 353m left)
  seed 56 pass 3/7  (85s/pass, 143m elapsed, 352m left)
  seed 56 pass 4/7  (85s/pass, 144m elapsed, 351m left)
packed gptoss120b: train 662 rows / 2.84 GB, val 166 rows / 0.71 GB, eval 866 rows / 0.81 GB (host)
gptoss120b: 389 pairs, 50 seeds, K=64 -> 7 passes/seed, 350 passes total
  seed 42 pass 1/7  (20s/pass, 0m elapsed, 117m left)
  seed 42 pass 2/7  (20s/pass, 1m elapsed, 113m left)
  seed 42 pass 3/7  (19s/pass, 1m elapsed, 109m left)
  seed 42 pass 4/7  (18s/pass, 1m elapsed, 106m left)
  seed 42 pass 5/7  (19s/pass, 2m elapsed, 108m left)
  seed 42 pass 6/7  (19s/pass, 2m elapsed, 107m left)
  seed 42 pass 7/7  (18s/pass, 2m elapsed, 103m left)
  seed 43 pass 1/7  (18s/pass, 2m elapsed, 102m left)
  seed 43 pass 2/7  (18s/pass, 3m elapsed, 102m left)
  seed 43 pass 3/7  (18s/pass, 3m elapsed, 101m left)
  seed 43 pass 4/7  (18s/pass, 3m elapsed, 101m left)
  seed 43 pass 5/7  (18s/pass, 4m elapsed, 101m left)
  seed 43 pass 6/7  (18s/pass, 4m elapsed, 100m left)
  seed 43 pass 7/7  (18s/pass, 4m elapsed, 98m left)
  seed 44 pass 1/7  (18s/pass, 4m elapsed, 100m left)
